yapim_id,lokasyon_id,sahne_bilgisi
200,116,Vardar ailesinin Muğla merkezdeki tarihi konağı ve şehir içi sahneleri
200,123,Marmaris ve çevresindeki lüks yaşam ve sahil çekimleri
200,126,Dizinin dramatik yapısını destekleyen Muğla kırsalı ve zeytinlik sahneleri
686,126,Muğla Yatağan/Bozüyük (Güzelköy) çevresinde geçen komik olaylar ve köy meydanı sahneleri
686,116,Resmi daireler ve kasaba merkezi için kullanılan Muğla sahneleri
686,296,Ege'nin doğal dokusunu yansıtan dış mekan çekimleri
127,51,Umut ve arkadaşlarının füze denemeleri yaptığı Bandırma sahili ve okul çevresi
127,170,İstanbul bağlantılı resmi kurum ve mühendislik sahneleri
127,140,Genel dış çekimler ve dönem atmosferini yansıtan kasaba sahneleri
198,58,Cengiz Sezen'in 80'li yıllardaki Bursa/Mudanya sahneleri ve sahil çekimleri
198,61,Bursa şehir merkezindeki tarihi çay bahçesi ve kasetçi sahneleri
198,60,Dönem atmosferini yansıtan tarihi sokak çekimleri
611,31,Karacaören Köyü (Bursa/Karacabey) çevresinde kurulan Kenya platosu sahneleri
611,170,Filmin başlangıcındaki İstanbul şehir hayatı ve havalimanı sahneleri
611,32,Bazı dış mekan sahil çekimleri için kullanılan bölgeler
748,76,Bulgar Ali ve ailesinin yerleştiği tarihi kasaba ve istasyon sahneleri
748,73,Kütahya ve çevresindeki demiryolu hattı ve doğa çekimleri
748,140,Genel dış mekan ve 1950'li yılların atmosfer çekimleri
622,170,Cüneyt Arkın ve Emel Sayın'ın İstanbul sahneleri ve villa çekimleri
622,173,Sahil şeridi ve romantik/macera dolu dış mekan sahneleri
622,264,Karakterlerin kaçış ve aksiyon dolu takip sahneleri
562,170,Şener Şen ve Levent Kırca'nın İstanbul mahalle ve iş hayatı sahneleri
562,219,Samimi mahalle kültürü ve dönemin sosyal yaşamını yansıtan çekimler
562,239,Sirkeci ve Eminönü hattındaki seyahat ve ayrılık sahneleri
336,170,Karakterlerin yaşadığı Kanlıca/Beykoz hattındaki lüks ev sahneleri
336,222,Sayer Koleji ve çevresindeki modern okul sahneleri
336,216,Karakterlerin sahil şeridi ve dış mekan sosyal yaşam çekimleri
313,61,"Dizinin meşhur Bursa sokakları, mahalleleri ve iç mekan çekimleri"
313,58,Mudanya çevresindeki dramatik olay sahneleri
313,60,Bursa genelindeki farklı mahalle ve park sahneleri
535,248,Yaman ve Selim Serez ailesinin Tuzla'daki lüks site ve sahil sahneleri
535,173,Boğaz hattındaki sosyal etkinlik ve üniversite sahneleri
535,222,İş dünyası ve modern İstanbul silüeti çekimleri
37,227,Asiye ve İlyas'ın İstanbul Beykoz/Paşabahçe çevresindeki motor sahneleri
37,170,Eski cam fabrikası platosu ve mahalle atmosferi sahneleri
37,173,Boğaz kıyısındaki duygusal ve romantik dış çekimler
177,61,Karakterlerin Bursa Tophane çevresindeki dramatik aile sahneleri
177,60,Geleneksel yaşamı yansıtan tarihi köy ve konak çekimleri
177,286,Dizinin İzmir bağlantılı bazı dış çekimleri
65,249,Rıza Baba ve ekibinin Vatan Caddesi Emniyet binası sahneleri
65,170,"İstanbul'un hemen her semtinde (Balat, Beyoğlu) geçen suç mahalleri"
65,173,Sahil şeridindeki devriye ve kovalamaca sahneleri
881,61,Boran ailesinin Bursa'daki meşhur konağı ve bahçe sahneleri
881,170,Süreyya'nın İstanbul'daki eski hayatı ve Nişantaşı sahneleri
881,173,Boğaz hattındaki romantik ve dramatik buluşmalar
498,60,Ali öğretmen ve Nazar'ın Cumalıkızık köyündeki unutulmaz aşk sahneleri
498,61,Bursa şehir merkezindeki çarşı ve han sahneleri
498,59,Dizinin dış çekimlerinde kullanılan Mudanya kıyıları
774,61,Bursa'nın köklü tekstilci ailelerinin villa ve fabrika sahneleri
774,59,Mudanya ve çevresindeki deniz manzaralı dış çekimler
774,170,İstanbul bağlantılı iş dünyası ve ticaret sahneleri
324,61,Gülcemal ve Deva'nın Bursa'daki tarihi konak ve atmosfer sahneleri
324,59,Modern Bursa sahneleri ve Mudanya yolu üzerindeki çekimler
324,173,İstanbul'daki holding ve lüks yaşam sahneleri
330,59,Bursa Mudanya'daki yetimhane ve başlangıç sahneleri
330,170,Karakterlerin İstanbul'a geldikten sonra yaşadıkları lüks villalar
330,222,Şehir merkezi sahneleri ve modern dış çekimler
730,18,Cumhuriyetin 10. yılı kutlamaları ve Eski Meclis önündeki tarihi törenler
730,16,1930'ların Ankara şehir merkezi ve bozkır atmosferi
730,19,Ulus Meydanı ve çevresindeki ilk kamu binalarının inşası
882,16,Zeki Demirkubuz'un Ankara sokaklarındaki klostrofobik ve dramatik çekimleri
882,27,Karakterlerin içsel hesaplaşmalarını yansıtan Ankara gece sahneleri
882,21,Şehir içi günlük akış ve ev sahneleri
281,237,"Denizli ve çevresindeki geleneksel ""Eğreti Gelin"" kültürü sahneleri"
281,140,Kastamonu benzeri taşra kasabası atmosferi çekimleri
281,170,İstanbul'daki tiyatro ve sanat çevreleri sahneleri
186,23,Ender ve Çetin'in Tunalı/Kuğulu Park çevresindeki hüzünlü ve samimi yürüyüşleri
186,16,Ankara'nın kış atmosferindeki ev ve sokak sahneleri
186,27,Karakterlerin sosyal hayatı ve Ankara geceleri sahneleri
852,170,Cüneyt Arkın'ın İstanbul sokaklarındaki aksiyon ve kovalamaca sahneleri
852,264,Liman ve depo bölgelerindeki çatışma sekansları
852,211,Eminönü ve Kapalıçarşı çevresindeki tarihi doku çekimleri
168,19,Cumhuriyet'in ilk yıllarının Ankara atmosferi ve Meclis sahneleri
168,217,Opera ve konser sahneleri için kullanılan tarihi Beykoz platoları
168,170,İstanbul bağlantılı sanat ve bürokrasi sahneleri
802,16,Dolmuşçu Yusuf'un Ankara trafiğindeki komik maceraları
802,24,Karakterlerin Ankara kırsalındaki yol ve kaçış sahneleri
802,21,Şehir içi günlük akış ve dış mekan kentsel çekimler
483,16,Dört kardeşin Ankara'ya ilk gelişleri ve Anıtkabir/Meclis sahneleri
483,19,Altınları bozdurmaya çalıştıkları tarihi Ulus ve çarşı sahneleri
483,170,Bazı iç mekan ve stüdyo çekimleri için kullanılan İstanbul sahneleri
99,16,Deniz ve Özgür'ün çocukluk yıllarının geçtiği Ankara sokakları
99,27,Karakterlerin Ankara'daki nostaljik ve modern buluşma noktaları
99,170,Dizinin İstanbul ayağındaki sanat ve sergi sahneleri
137,16,Amirim ve ekibinin Ankara emniyet binası ve şehir içi operasyonları
137,28,Hapishane ve sorgu sahneleri için kullanılan Ulucanlar sahneleri
137,27,Ankara Kızılay ve çevresindeki aksiyon sekansları
687,149,Karakterlerin Siirt ve Pervari'den yola çıktıkları sarp doğa sahneleri
687,16,Ankara tren garı ve hayvancılık pazarı sahneleri
687,87,Yolculuğun geçtiği demiryolu hattı ve tren çekimleri
751,24,Vali Recep Yazıcıoğlu'nun Ankara Mamak ve çevresindeki bürokratik sahneleri
751,16,Şehir merkezindeki hükümet binaları ve resmi makam çekimleri
751,140,Bazı dış mekan ve kasaba sahneleri için kullanılan taşra bölgeleri
82,54,Aybüke öğretmenin Batman Kozluk'taki görev yeri ve okul sahneleri
82,286,Karakterin üniversite yılları ve Ankara/Konak sahneleri
82,16,Ankara genelindeki aile ve geçmişe dair sahneler
666,23,Karakterlerin Tunalı Hilmi ve Kuğulu Park çevresindeki entelektüel sohbetleri
666,16,Ankara'nın kalbinde geçen sanat ve dostluk sahneleri
666,27,Karakterlerin gittiği tarihi Ankara barları ve sosyal alanları
248,28,Yılmaz Güney'in cezaevi isyanını anlatan sarsıcı hapishane sahneleri
248,170,Dizinin İstanbul bağlantılı bazı iç mekan ve flashback çekimleri
248,266,Mahkeme ve resmi süreçleri yansıtan tarihi binalar
819,140,İbrahim Zübükzade'nin kurgusal taşra kasabasındaki siyasi şov sahneleri
819,16,Karakterin Ankara'ya meclise gidiş ve bürokrasi sahneleri
819,286,Şehir merkezi sahneleri ve miting alanları
253,16,Dütdüt Mehmet'in Ankara sokaklarında klarnet çaldığı sahneler
253,25,Karakterin yaşadığı Mamak ve Boğaziçi çevresindeki gecekondu sahneleri
253,27,Eski Ankara pavyonları ve gece hayatı atmosferi çekimleri
909,170,Şevkat'in Balat ve çevresindeki mahalle delikanlısı maceraları
909,16,Ankara sahneleri ve Başkent'ten İstanbul'a uzanan yol hikayesi
909,173,Sahil şeridi ve dış mekan komedi sekansları
799,30,Dizinin kalbi olan Çinçin Bağları mahalle kültürü ve sokak sahneleri
799,16,Ankara genelindeki kentsel dönüşüm ve değişim bölgeleri
799,27,Şehir merkezi sahneleri ve karakterlerin Ankara maceraları
135,16,Amirim ve ekibinin Ankara emniyet binası ve şehir içi operasyonları
135,27,Kızılay ve Çankaya hattındaki aksiyon ve protesto sahneleri
135,30,Çinçin ve kenar mahallelerde geçen kovalamaca sahneleri
749,28,Küçük Barış ve İnci'nin Ulucanlar Cezaevi avlusundaki duygusal sahneleri
749,266,Dönemin hapishane ve adliye atmosferini yansıtan iç mekanlar
749,170,Flashback sahneleri ve İstanbul bağlantılı dış çekimler
835,16,İlyas Bazna'nın Ankara'daki büyükelçilikler ve casusluk sahneleri
835,217,2. Dünya Savaşı dönemi Ankara ve İstanbul atmosferi için platolar
835,170,İstanbul'daki operasyonel ve tarihi dış mekan çekimleri
145,16,Osman Kozan ve ailesinin Ankara'daki günlük mahalle yaşantısı
145,268,Kozan ailesinin bazı çekimleri için kullanılan İstanbul sahneleri
145,21,"Ankara genelindeki hastane, ofis ve okul çevresi sahneleri"
280,229,Ramiz Dayı ve Ezel'in Pierre Loti'deki meşhur manzaralı sohbetleri
280,170,Balat ve çevresindeki eski mahalle sahneleri (Eyşan'ın evi ve sokaklar)
280,222,Ezel Bayraktar'ın oteli ve lüks kumarhane sahneleri (Levent/Maslak)
454,16,Ankara'daki siyasi kulisler ve emniyet birimi sahneleri
454,27,Karakterlerin şehir merkezi ve bürokrasi çevresindeki takipleri
454,170,Suç dünyasının İstanbul ayağındaki gizli buluşma noktaları
147,26,Sayar ailesinin Ankara Gölbaşı'ndaki malikanesi ve bahçe sahneleri
147,16,Şehir merkezi sahneleri ve karakterlerin sosyal alan çekimleri
147,21,Hastaneler ve ofisler için kullanılan Ankara mekanları
654,26,Gölbaşı ve çevresindeki modern ev yaşamı ve park sahneleri
654,16,Ankara genelindeki restoran ve cafe buluşma çekimleri
654,21,Şehir içi günlük akış ve dış mekan kentsel çekimler
480,269,Ali Nejat'ın lüks yalı yaşamı ve modern ofis sahneleri
480,173,Boğaz hattındaki tekne ve sahil sürüş sahneleri
480,222,Otomotiv holdingi ve iş dünyası çekimleri (Maslak)
764,242,Milli Mücadele döneminin Sultanahmet mitingleri ve tarihi meydan sahneleri
764,217,Meclis-i Mebusan ve gizli toplantılar için kullanılan dönem platoları
764,170,İşgal altındaki İstanbul'un tarihi yarımada sahneleri
349,81,Hayrullah Bey ve ailesinin Kayseri'deki muhafazakar yaşamı ve fabrika sahneleri
349,16,Ankara'daki politik pazarlıklar ve bürokrasi sahneleri
349,170,Dizinin İstanbul bağlantılı ticaret ve aile sahneleri
163,269,Onur ve Şehrazat'ın mimarlık ofisi ve Yeniköy'deki yalı sahneleri
163,173,Boğaz üzerindeki köprü geçişleri ve akşam yemeği sahneleri
163,170,Tarihi binalarda geçen restorasyon ve şantiye sahneleri
42,173,Hakime Güzide'nin İstanbul'daki aile evi ve sahil yürüyüşleri
65,266,Mahkeme salonları ve adliye koridorları sahneleri
42,222,Modern hukuk büroları ve iş dünyası çekimleri
738,16,İlkay ve Ali'nin Ankara'daki günlük mahalle yaşantısı sahneleri
738,26,Karakterlerin dinlenme alanları ve dış mekan sahil (Gölbaşı) çekimleri
738,21,Ankara genelindeki hastane ve okul çevresi sahneleri
136,27,Amirim ve ekibinin Sakarya Caddesi'ndeki meyhane ve sokak sahneleri
136,21,Cinayet büro ekiplerinin emniyet binası ve Gazi Mahallesi çevresindeki devriye sahneleri
136,16,Ankara genelindeki raylı sistemler ve tren garı çevresi çekimleri
631,64,Kılıç Timi'nin operasyon sahneleri için kullanılan Eskişehir kırsalı
631,86,Askeri üs ve iç mekan çekimleri için kullanılan özel platolar
631,16,Birliklerin Ankara'daki genel merkez ve resmi tören sahneleri
519,216,Mecnun'un denize karşı oturduğu Kireçburnu sahili ve Erdal Bakkal sahneleri
519,170,Kireçburnu'nun arka sokaklarındaki mahalle ve ev sahneleri
519,173,Boğaz hattındaki absürt yolculuk ve dış mekan çekimleri
386,170,İstanbul'un karmaşık suç dünyasını yansıtan dar sokak sahneleri
386,264,Deniz kenarı ve liman bölgelerindeki gizli buluşmalar
386,222,İş dünyası ve operasyon merkezleri için kullanılan plazalar
495,91,Dizinin geçtiği tarihi Gazimağusa sokakları ve Maraş bölgesi sahneleri
495,170,Türkiye ayağındaki diplomatik ve askeri karar alma sahneleri
495,86,Savaş sahneleri için kurulan özel açık hava platoları
187,16,Misket ve ailesinin Ankara'daki günlük yaşamı ve mahalle sahneleri
187,286,İzmir bağlantılı bazı flashback ve tatil sahneleri
187,21,Ankara genelindeki sosyal alan ve park çekimleri
295,16,Ankara'nın yerleşik aile kültürünü yansıtan ev ve sokak sahneleri
295,27,Karakterlerin şehir merkezi gezintileri ve alışveriş sahneleri
295,21,Yenimahalle çevresindeki sakin mahalle atmosferi çekimleri
235,16,Üniversite öğrencilerinin Ankara'daki kampüs ve sosyal yaşam sahneleri
235,222,İstanbul bağlantılı iş ve aile ziyaret sahneleri
235,21,Gençlik dramını yansıtan kafe ve dış mekan çekimleri
715,16,MİT binası ve Ankara genelindeki istihbarat operasyonu sahneleri
715,170,Operasyonların İstanbul ayağındaki gizli takip ve aksiyon sahneleri
715,64,Sınır ötesi operasyon atmosferi için kullanılan kırsal alanlar
242,64,Timin operasyon yaptığı karlı ve dağlık araziler için Sivrihisar çekimleri
242,16,Ankara'daki karargah ve resmi kabul sahneleri
242,86,Teknolojik merkez ve üs sahneleri için kullanılan kapalı setler
589,295,Oğuz ve Deniz'in Tire sokaklarındaki cenaze ve yolculuk sahneleri
589,299,İzmir Urla çevresindeki doğal ve sakin dış çekimler
589,286,İzmir şehir merkezi ile bağlantılı duygusal sekanslar
141,286,Nihat'ın çalıştığı İzmir'deki yemekhane ve hastane sahneleri
141,277,"Basmane ve çevresindeki kasvetli, dramatik sokak çekimleri"
141,33,İzmir-İstanbul hattındaki yol ve seyahat sahneleri
869,285,Arifoğlu ailesinin Çeşme Ildır'daki büyük malikanesi ve sahil sahneleri
869,273,Alaçatı ve çevresindeki 90'lar atmosferini yansıtan sokak çekimleri
869,286,İzmir şehir merkezindeki nostaljik aile sahneleri
184,273,Eşref Bey'in Alaçatı'daki evi ve sakin yaşam sahneleri
184,173,Kaan'ın İstanbul'daki modern ve kaotik iş hayatı sahneleri
184,287,İzmir-İstanbul arası duygusal yolculuk ve mola sahneleri
194,280,"Hakan, Salih ve Özkan'ın Bornova sokaklarındaki gençlik ve bunalım sahneleri"
194,286,İzmir genelindeki banliyö ve mahalle atmosferi çekimleri
194,289,Karakterlerin Kordon boyundaki akşam gezintileri
428,128,Kaan ve Mete'nin Fethiye/Ölüdeniz hattındaki tatil ve başlangıç sahneleri
428,273,Antalya-İzmir arası yolculuğun Alaçatı ve Çeşme durakları
428,170,İstanbul bağlantılı radyo stüdyosu ve gece hayatı sahneleri
612,53,Recep'in babaannesinden kalan eve yerleştiği Ayvalık/Kozak Yaylası sahneleri
612,52,Ayvalık ilçe merkezi ve pazar yeri çekimleri
612,170,Filmin başlangıcındaki İstanbul şehir hayatı sahneleri
892,286,Şaban'ın İzmir Fuarı'ndaki konser ve sahne maceraları
892,287,İzmir Kordon ve Pasaport çevresindeki komik kovalamaca sahneleri
892,170,İstanbul bağlantılı gazino ve ev sahneleri
688,295,Yusuf ve annesinin Tire'deki süt satma ve kasaba yaşamı sahneleri
688,299,Urla ve çevresindeki doğal tarım alanları ve dere çekimleri
688,286,Şehir merkezindeki sınav ve gelecek arayışı sahneleri
228,113,Mehmet Bey'in Milas'taki evi ve mübadele hikayesinin geçtiği sokaklar
228,286,Dizinin İzmir Güzelyalı ve sahil şeridindeki çekimleri
228,285,Karakterlerin çocukluk anıları ve sahil sahneleri
75,170,Tarık ve Necla'nın taksiyle gezdiği tarihi İstanbul semtleri
75,173,Boğaz hattındaki romantik ve komik kovalamaca sahneleri
75,190,Karakterlerin yaşadığı samimi mahalle atmosferi sahneleri
210,170,Murat ve Halit'in Kahraman için İstanbul sokaklarındaki çabaları
210,239,Sirkeci Garı ve çevresindeki dramatik sahneler
210,190,Cankurtaran mahallesindeki yoksul ama sıcak ev sahneleri
183,298,Eski dostların buluştuğu Urla/Çeşmealtı'ndaki yazlık ev sahneleri
183,296,Urla bağ yolları ve dış mekan doğa çekimleri
183,299,Karakterlerin sahil kasabası içindeki duygusal yüzleşmeleri
114,170,Barış Manço'nun İstanbul sokaklarındaki neşeli sahneleri
114,173,Beşiktaş-Ortaköy hattındaki sahil çekimleri
114,219,Mahalle kültürü ve aile içi komik olayların geçtiği mekanlar
855,292,Erkin ve kardeşi Koray'ın Sığacık sokaklarındaki maceraları
855,291,Seferihisar ve çevresindeki yol ve kaçış sahneleri
855,286,İzmir şehir merkezi ile bağlantılı komedi sekansları
481,277,Selim'in yangın sonrası döndüğü Basmane ve Alsancak sahneleri
481,287,İzmir Kordon hattındaki dumanlı ve melankolik dış çekimler
481,286,Şehir merkezi ve sanayi bölgesi atmosfer çekimleri
824,31,Ekibin İzmir ve çevresindeki yeni maceraları ve plaj sahneleri
824,286,İzmir Konak meydanı ve şehir içi aksiyon sahneleri
824,170,İstanbul bağlantılı başlangıç ve final sahneleri
120,294,Sadık'ın ailesinin yanına döndüğü Seferihisar/Sığacık sahneleri
120,292,Karakterlerin köy meydanı ve pazar yeri etkileşimleri
120,286,İzmir şehir merkezi ve 80'ler atmosferindeki hastane çekimleri
123,286,Ahmet Özhan'ın İzmir Fuarı ve Kordon boyundaki sahneleri
123,287,Alsancak çevresindeki müzikal ve romantik sekanslar
123,173,İstanbul bağlantılı konser ve stüdyo sahneleri
718,170,Mülteci kız kardeşlerin İstanbul sahneleri ve Avrupa'ya geçiş hazırlıkları
718,173,Boğaz hattı ve deniz kenarındaki dramatik sahneler
718,71,Suriye-Türkiye sınır geçiş atmosferi için kullanılan Hatay/Antep hattı
755,163,Atatürk'ün Çanakkale Savaşı sahneleri ve tarihi alan çekimleri
755,170,Osmanlı'nın son dönemi İstanbul sahneleri ve saray çekimleri
755,286,İzmir'in kurtuluş dönemini yansıtan tarihi doku çekimleri
549,294,Karakterlerin İzmir'e göç ettikten sonra yaşadıkları samimi mahalle sahneleri
549,281,İzmir Karşıyaka ve çevresindeki sosyal yaşam alanları
549,82,Karakterlerin geçmişine dair sarp vadi ve köy sahneleri
889,90,Leyla ve Canan'ın tüm filmin merkezinde olan tren yolculuğu sahneleri
889,286,Yolculuğun son durağı olan İzmir şehir merkezi ve sahil şeridi
889,87,Tren istasyonları ve raylar üzerindeki duygusal geçiş sahneleri
724,131,Uzay gemisinin indiği gezegen olarak kullanılan Göreme vadileri
724,134,Karakterlerin yaratıklarla karşılaştığı Kapadokya peri bacaları
724,32,İç mekan gemi sahneleri için kullanılan Antalya/İstanbul stüdyoları
53,88,Genç pilotların eğitim aldığı Konya Hava Üssü ve gökyüzü sahneleri
53,286,Karakterlerin izin günlerindeki İzmir ve çevresi sahneleri
53,163,Dramatik yapı için kullanılan Çanakkale dış çekimleri
531,286,Bekir ve Uğur'un İzmir'deki kasvetli otel ve kenar mahalle sahneleri
531,287,Alsancak ve çevresindeki gece çekimleri
531,281,Dizinin ikonik ve hüzünlü dış mekan kentsel çekimleri
800,296,Yusuf'un annesinin ölümüyle döndüğü Urla bağ yolları ve ev sahneleri
800,299,"Urla iskelesi ve çevresindeki sakin, dramatik sahneler"
800,286,İzmir şehir merkezi ile bağlantılı sahneler
579,294,Zafer Kaptan ve ailesinin Sığacık'taki tekne ve mahalle maceraları
579,291,Sığacık kalesi içindeki eğlenceli ve komik sahneler
579,273,Çeşme ve Alaçatı çevresindeki turistik dış çekimler
548,82,Mahir öğretmenin atandığı ve hikayenin başladığı sarp köy sahneleri
548,286,Karakterlerin şehir merkezi ve hastane sahneleri için kullanılan bölgeler
548,140,Genel dış çekimler ve dramatik vadi görüntüleri
782,87,Leyla ve Ali'nin trende tanıştığı başlangıç sahneleri (Ankara-İzmir hattı)
782,287,İzmir Kordon ve Alsancak hattındaki duygusal final sahneleri
782,286,Şehir içi geçiş ve yolculuk sekansları
742,287,Futbolcu Doğan ve müzisyen Erkan'ın İzmir Kordon'daki maceraları
742,286,Baba evinin bulunduğu İzmir Konak ve çevresi
758,94,Karakterlerin Manisa'daki fabrika ve iş sahneleri
758,94,Dizinin geçtiği Manisa fabrikalar bölgesi ve işçi mahalleleri
758,286,Karakterlerin İzmir bağlantılı sosyal yaşam sahneleri
758,281,İzmir Karşıyaka ve çevresindeki dış çekimler
680,275,Köyün susuzluk mücadelesinin geçtiği İzmir/Bademler köyü ve arazileri
680,299,Urla ve çevresindeki doğal tarım alanları ve dere yatakları
680,286,Şehir merkezi sahneleri ve hukuki süreç çekimleri
459,286,Zühtü Kaya'nın İzmir'de yanlışlıkla aday olduğu belediye ve meydan sahneleri
459,287,Kordon'daki miting ve kampanya sahneleri
459,281,Şehir içindeki politik çekişme ve ev sahneleri
285,283,Yılmaz Güney'in İzmir/Eşrefpaşa mahallesindeki kabadayı sahneleri
285,286,Basmane ve Konak çevresindeki eski İzmir sokakları
285,287,Liman ve sahil kenarındaki macera sahneleri
712,286,İzmir'in arka sokaklarındaki dramatik yaşam ve mücadele sahneleri
712,287,Şehir merkezi ve dış mekan kentsel çekimler
712,281,Bazı iç mekan ve hastane atmosferi sahneleri
665,300,Zeki ve Metin'in çalıştığı İzmir Çeşme'deki devasa otel sahneleri
665,273,Alaçatı ve çevresindeki komik hırsızlık takibi sahneleri
665,286,İzmir şehir merkezindeki yol ve liman sahneleri
351,286,Pucca ve Sirkeci'nin İzmir şehir merkezi ve Kordon sahneleri
351,281,Karakterlerin Karşıyaka/Bostanlı tarafındaki romantik yürüyüşleri
351,173,İstanbul bağlantılı yayıncılık ve iş dünyası sahneleri
703,274,Metin Oktay'ın İzmir'deki ilk futbol yıllarını temsil eden stadyum sahneleri
703,286,Karakterlerin İzmir Konak ve çevresindeki sosyal yaşamı
703,170,Galatasaray transferi sonrası İstanbul'daki yaşam ve başarı sahneleri
570,286,Niyazi Gül'ün veterinerlik yaptığı ve maceralara atıldığı İzmir kırsalı
570,281,At yarışı ve hipodrom sahneleri için kullanılan bölgeler
570,31,Muğla/Fethiye çevresindeki bazı doğa çekimleri
846,279,Hüsnü Şenlendirici'nin Ödemiş/Birgi'deki çıraklık ve müzik sahneleri
