id,lokasyon_adi,sehir,ilce,koordinat,turizm_potansiyeli,ziyaret_durumu,populer_aktiviteler,gorsel_url
47,Ağrı Dağı Etekleri ve Doğubayazıt,Ağrı,Doğubayazıt,"39.547, 44.084",Yüksek,Açık,"Doğa Yürüyüşü, Manzara",https://gorsel-linki.com/agri-dagi.jpg
48,İshak Paşa Sarayı,Ağrı,Doğubayazıt,"39.520, 44.129",Çok Yüksek,Müze/Açık,Mimari Fotoğrafçılık,https://gorsel-linki.com/ishakpasa.jpg
49,Ayvalık,Balıkesir,Ayvalık,"39.3212,26.6965",Yüksek,Açık,Ada gezisi; Rum mimarisi; zeytinyağı tadımı; sahil yürüyüşü,
50,Bandırma,Balıkesir,Bandırma,"40.3505,27.9762",Orta,Açık,Tarihi çarşı; Erdek ve Marmara Adası'na feribot,
51,Bandırma Sahil ve Eski Tren Garı Çevresi,Balıkesir,Bandırma,"40.352, 27.971",Yüksek,Açık,"Nostalji Turu, Fotoğraf",https://gorsel-linki.com/bandirma-sahil.jpg
52,Cunda Adası ve Tarihi Sokaklar,Balıkesir,Ayvalık,"39.336, 26.662",Çok Yüksek,Açık,"Gastronomi, Kültür Gezisi",https://gorsel-linki.com/cunda.jpg
53,Kozak Yaylası ve Köy Evleri,Balıkesir,Ayvalık,"39.294, 26.845",Yüksek,Açık,"Eko-Turizm, Köy Kahvaltısı",https://gorsel-linki.com/kozak.jpg
54,Aybüke Yalçın Caddesi ve Okul Çevresi,Batman,Kozluk,"38.216, 41.488",Yüksek,Açık,"Ziyaret, Saygı Duruşu",https://gorsel-linki.com/kozluk-aybuke.jpg
55,Zeydan Mahallesi,Bitlis,Merkez,"38.3950,42.1246",Orta,Açık,Tarihi Bitlis evleri; yüzyıllık minare manzarası; film lokasyonu,
56,Karagöz ve Hacivat Anıtı ve Orman Köyleri,Bursa,Orhaneli,"39.902, 28.985",Yüksek,Açık,"Kültür Gezisi, Atölye",https://gorsel-linki.com/orhaneli.jpg
57,Mudanya,Bursa,Mudanya,"40.3743,28.8839",Orta,Açık,Tarihi Rum evleri; sahil yürüyüşü; Mudanya Mütarekesi müzesi,
58,Mudanya Eski Evleri ve Mütareke Meydanı,Bursa,Mudanya,"40.375, 28.883",Çok Yüksek,Açık,"Tarih Gezisi, Gastronomi",https://gorsel-linki.com/mudanya-mutareke.jpg
59,Mudanya Sahil Şeridi ve Tarihi Evler,Bursa,Mudanya,"40.375, 28.883",Yüksek,Açık,"Yürüyüş, Gastronomi",https://gorsel-linki.com/mudanya.jpg
60,Tarihi Cumalıkızık Köyü ve Taş Yollar,Bursa,Cumalıkızık,"40.175, 29.172",Çok Yüksek,Açık,"Köy Kahvaltısı, Dizi Turu",https://gorsel-linki.com/cumalikizik.jpg
61,Tophane Yamaçları ve Tarihi Konaklar,Bursa,Osmangazi,"40.188, 29.061",Çok Yüksek,Açık,"Şehir Manzarası, Nostalji",https://gorsel-linki.com/tophane.jpg
62,Diyarbakır Surları ve Hevsel Bahçeleri,Diyarbakır,Sur,"37.913, 40.238",Çok Yüksek,Açık,"Tarih Gezisi, Fotoğraf",https://gorsel-linki.com/diyarbakir-sur.jpg
63,Eskişehir,Eskişehir,Odunpazarı,"39.7767,30.5206",Yüksek,Açık,Odunpazarı evleri; Porsuk Çayı; cam sanatı; tren müzesi,
64,Sivrihisar Kırsalı ve Askeri Platolar,Eskişehir,Sivrihisar,"39.450, 31.537",Yüksek,Kısıtlı,"Set Gezisi, Doğa Fotoğrafı",https://gorsel-linki.com/sivrihisar-set.jpg
65,Bakırcılar Çarşısı,Gaziantep,Şahinbey,"37.0662,37.3833",Yüksek,Açık,Gastronomi turu; el sanatları alışverişi; Zeugma Mozaik Müzesi,
66,Gaziantep Kalesi ve Eski Evler,Gaziantep,Şahinbey,"37.066, 37.383",Yüksek,Açık,Tarih Gezisi,https://gorsel-linki.com/antep-kalesi.jpg
67,Gaziantep Tarihi Bakırcılar Çarşısı,Gaziantep,Şahinbey,"37.066, 37.378",Çok Yüksek,Açık,"Gastronomi Turu, Alışveriş",https://gorsel-linki.com/bakircilar.jpg
68,Zeugma Mozaik Müzesi ve Çevresi,Gaziantep,Şehitkamil,"37.075, 37.385",Çok Yüksek,Müze,Kültür Gezisi,https://gorsel-linki.com/zeugma.jpg
69,Hakkari/Yüksekova Sınır Köyleri,Hakkari,Yüksekova,"37.561, 44.287",Düşük,Kısıtlı,Gözlem,https://gorsel-linki.com/yuksekova.jpg
70,Harran Mahallesi,Hatay,Reyhanlı,"36.3581,36.5875",Orta,Açık,Tarihi köy dokusu; Kibar Feyzo film lokasyonu; Türk kırsal mimarisi,
71,Hatay Sınır Kapısı ve Köyleri,Hatay,Yayladağı,"35.912, 36.012",Orta,Açık,Sınır Ticareti Gözlemi,https://gorsel-linki.com/hatay-sinir.jpg
72,Amsterdam Şehir Merkezi,Hollanda,Amsterdam,"52.3676,4.9041",Yüksek,Açık,Kanal turları; Rijksmuseum; tarihi çarşılar; bisiklet kültürü,
73,Barla Dağları (Karabel Mevkii),Isparta,Eğirdir,"38.012, 30.725",Düşük,Kısıtlı (Zorlu Arazi),Doğa Yürüyüşü,https://gorsel-linki.com/barla.jpg
74,Eğirdir Gölü,Isparta,Eğirdir,"37.873, 30.852",Orta,Açık,"Doğa Yürüyüşü, Balıkçılık",https://gorsel-linki.com/egirdir.jpg
75,Eğirdir Gölü ve Tarihi Halı Atölyeleri,Isparta,Eğirdir,"37.873, 30.851",Yüksek,Açık,"Halı Dokuma Gözlemi, Göl Turu",https://gorsel-linki.com/egirdir.jpg
76,Tarihi Safranbolu Evleri ve Çarşısı,Karabük,Safranbolu,"41.245, 32.691",Çok Yüksek,Açık,"Kültür Turu, Tarihi Doku",https://gorsel-linki.com/safranbolu.jpg
77,Ani Harabeleri,Kars,Merkez,"40.510, 43.572",Çok Yüksek,Müze/Açık,Arkeolojik Keşif,https://gorsel-linki.com/ani-harabeleri.jpg
78,Kars Eski Rus Evleri ve Sokakları,Kars,Merkez,"40.608, 43.095",Çok Yüksek,Açık,"Mimari Keşif, Yürüyüş",https://gorsel-linki.com/kars-mimari.jpg
79,Kars Garı ve Raylı Sistemler,Kars,Merkez,"40.601, 43.102",Yüksek,Açık,Doğu Ekspresi Fotoğrafçılığı,https://gorsel-linki.com/kars-gar.jpg
80,Kars Kalesi ve Tarihi Hamamlar,Kars,Merkez,"40.612, 43.091",Çok Yüksek,Açık,Kültür Turu,https://gorsel-linki.com/kars-kale.jpg
81,Erciyes Dağı Etekleri ve Tarihi Mahalleler,Kayseri,Merkez,"38.530, 35.510",Çok Yüksek,Açık,"Kış Turizmi, Gastronomi",https://gorsel-linki.com/erciyes-kayseri.jpg
82,Soğanlı Vadisi,Kayseri,Yeşilhisar,"38.348, 34.978",Yüksek,Açık,"Balon Turu, Kaya Kiliseleri",https://gorsel-linki.com/soganli.jpg
83,Gaziantep Kilis Sınır Hattı (Plato),Kilis,Merkez,"36.716, 37.121",Düşük,Kısıtlı (Set Alanı),Aksiyon Çekimleri,https://gorsel-linki.com/kilis-sinir.jpg
84,Kilis Kalesi,Kilis,Merkez,"36.7184,37.1212",Orta,Açık,Tarihi kale gezisi ve fotoğrafçılık,
85,Darıca Riva Platosu (Tarihi Set),Kocaeli,Darıca,"40.760, 29.351",Yüksek,Özel İzinle,Set Gezisi,https://gorsel-linki.com/riva-set.jpg
86,Sekapark Film Platosu,Kocaeli,İzmit,"40.762, 29.904",Yüksek,Ziyarete Açık,Film Seti Gezisi,https://gorsel-linki.com/sekapark-set.jpg
87,İzmit Garı ve Tarihi Tren Rayları,Kocaeli,İzmit,"40.762, 29.919",Orta,Açık,"Ulaşım, Fotoğraf",https://gorsel-linki.com/izmit-gar.jpg
88,3. Ana Jet Üssü ve Hava Sahası,Konya,Selçuklu,"37.979, 32.562",Düşük,Kısıtlı (Askeri),Havacılık Gözlemi,https://gorsel-linki.com/ana-jet-ussu.jpg
89,Konya Ovası,Konya,Merkez,"37.8667,32.4833",Orta,Açık,Uçsuz bucaksız bozkır manzarası; Mevlana Türbesi günübirlik; semazen gösterileri,
90,Konya Tren Garı ve Raylı Sistemler,Konya,Ereğli,"37.514, 34.053",Orta,Açık,"Seyahat, Fotoğrafçılık",https://gorsel-linki.com/konya-gar.jpg
91,Kapalı Maraş ve Tarihi Surlar,Kuzey Kıbrıs,Gazimağusa,"35.116, 33.953",Çok Yüksek,Kısmi Açık,"Tarih Gezisi, Hüzün Turizmi",https://gorsel-linki.com/kibris-marash.jpg
92,Büyük Han,Lefkoşa,Merkez,"35.1742,33.3627",Yüksek,Açık,Osmanlı hanı gezisi; el sanatları; Kıbrıs kültürü,
93,Maldivler (Robinson ve Fun Adaları),Maldivler,Kuzey Malé,"4.1755,73.5093",Yüksek,Açık,Mercan resifleri; sualtı dalışı; su üstü bungalovlar,
94,Manisa Fabrikalar Bölgesi ve Şehir Merkezi,Manisa,Merkez,"38.619, 27.426",Düşük,Açık,Şehir Gezisi,https://gorsel-linki.com/manisa-merkez.jpg
95,Girmeli Köyü,Mardin,Nusaybin,"37.0500,41.2167",Orta,Açık,Tarihi köy mimarisi; Mezopotamya ovası manzarası,
96,Mardin Dara Antik Kenti,Mardin,Artuklu,"37.178, 40.954",Yüksek,Müze/Açık,Arkeolojik Gezi,https://gorsel-linki.com/dara.jpg
97,Mardin Eski Şehir,Mardin,Artuklu,"37.312, 40.735",Çok Yüksek,Açık,Mimari Fotoğrafçılık,https://gorsel-linki.com/mardin.jpg
98,Mardin Havalimanı ve Karayolu Hattı,Mardin,Kızıltepe,"37.231, 40.635",Düşük,Açık,Ulaşım,https://gorsel-linki.com/mardin-yolu.jpg
99,Mardin Midyat Sıla Konağı,Mardin,Midyat,"37.412, 41.372",Çok Yüksek,Müze/Açık,Konağın Terasında Fotoğraf,https://gorsel-linki.com/sila-konagi.jpg
100,Midyat Konuk Evi (Hercai Konağı),Mardin,Midyat,"37.412, 41.370",Çok Yüksek,Müze/Açık,"Mimari Fotoğrafçılık, Kültür Turu",https://gorsel-linki.com/midyat-konak.jpg
101,Midyat Tarihi Pazar ve Gümüşçüler Çarşısı,Mardin,Midyat,"37.414, 41.375",Yüksek,Açık,Telkari Alışverişi,https://gorsel-linki.com/midyat-pazar.jpg
102,Tarihi Mardin Dar Sokaklar ve Abbaralar,Mardin,Artuklu,"37.313, 40.734",Çok Yüksek,Açık,"Kültür Gezisi, Alışveriş",https://gorsel-linki.com/mardin-sokak.jpg
103,Mersin,Mersin,Merkez,"36.8000,34.6333",Orta,Açık,Sahil bolevardı; tarihi kale; Kızkalesi günübirlik turu,
104,Bodrum,Muğla,Bodrum,"37.0344,27.4305",Yüksek,Açık,Bodrum Kalesi; Mausoleum; yat limanı; sahil kafeler,
105,Bodrum Antik Tiyatro ve Sahili,Muğla,Bodrum,"37.039, 27.424",Çok Yüksek,Açık,"Konser, Kültür Turu",https://gorsel-linki.com/bodrum.jpg
106,Bodrum Bitez Sahili,Muğla,Bodrum,"37.029, 27.384",Çok Yüksek,Açık,"Su Sporları, Yürüyüş",https://gorsel-linki.com/bitez.jpg
107,Fethiye Kayaköy Hayalet Köy,Muğla,Fethiye,"36.575, 29.090",Çok Yüksek,Müze/Açık,"Tarihi Keşif, Fotoğraf",https://gorsel-linki.com/kayakoy.jpg
108,Gümüşlük Koyu ve Tavşan Adası,Muğla,Bodrum,"37.054, 27.234",Çok Yüksek,Açık,"Deniz Kenarı Gastronomi, Gün Batımı",https://gorsel-linki.com/gumusluk.jpg
109,Hasanlar Köyü,Muğla,Milas,"37.2167,27.7833",Orta,Açık,Orman ve kırsal doku; kelebek türleri gözlemi; sessiz doğa yürüyüşü,
110,Köyceğiz Sığla Ormanları,Muğla,Köyceğiz,"36.950, 28.670",Orta,Açık,Doğa Fotoğrafçılığı,https://gorsel-linki.com/sigla.jpg
111,Marmaris,Muğla,Marmaris,"36.8553,28.2717",Yüksek,Açık,Tekne turları; yat marinası; tarihi kale; Hisarönü koyu,
112,Marmaris Yat Limanı ve Plajları,Muğla,Marmaris,"36.850, 28.270",Çok Yüksek,Açık,"Yat Turu, Gece Hayatı",https://gorsel-linki.com/marmaris.jpg
113,Milas Tarihi Sokakları ve Arasta,Muğla,Milas,"37.316, 27.783",Yüksek,Açık,"Mimari Fotoğrafçılık, Kültür",https://gorsel-linki.com/milas-sokak.jpg
114,Milas Çökertme Koyu,Muğla,Milas,"37.001, 27.791",Yüksek,Açık,"Yüzme, Kamp",https://gorsel-linki.com/cokertme.jpg
115,Muğla Bozüyük Meydanı,Muğla,Yatağan,"37.339, 28.232",Çok Yüksek,Açık,Dizi Seti Gezisi,https://gorsel-linki.com/bozuyuk-meydan.jpg
116,Muğla Eski Şehir ve Tarihi Evler,Muğla,Menteşe,"37.218, 28.366",Çok Yüksek,Açık,"Kültür Gezisi, Fotoğrafçılık",https://gorsel-linki.com/mugla-arasta.jpg
117,Muğla Köyceğiz Göl Kıyısı,Muğla,Köyceğiz,"36.912, 28.685",Yüksek,Açık,"Sakinlik, Fotoğrafçılık",https://gorsel-linki.com/koycegiz-gol.jpg
118,Muğla Köyceğiz Yaylaları,Muğla,Köyceğiz,"36.969, 28.694",Yüksek,Açık,Doğa Yürüyüşü,https://gorsel-linki.com/koycegiz.jpg
119,Muğla Marmaris Saklıgöl,Muğla,Marmaris,"36.985, 28.324",Yüksek,Açık,"Kahvaltı, Doğa Yürüyüşü",https://gorsel-linki.com/sakligol.jpg
120,Muğla Şehir Merkezi ve Arasta,Muğla,Menteşe,"37.215, 28.366",Yüksek,Açık,"Kültür Gezisi, Alışveriş",https://gorsel-linki.com/mugla-arasta.jpg
121,Selimiye Koyu ve Çevresi,Muğla,Marmaris,"36.708, 28.093",Çok Yüksek,Açık,"Mavi Tur, Dinlenme",https://gorsel-linki.com/selimiye-koyu.jpg
122,Selimiye Köyü ve Limanı,Muğla,Marmaris,"36.708, 28.093",Çok Yüksek,Açık,"Tekne Turu, Dinlenme",https://gorsel-linki.com/selimiye.jpg
123,Selimiye ve Bozburun Kıyıları,Muğla,Marmaris,"36.708, 28.093",Çok Yüksek,Açık,"Yat Turizmi, Sakinlik",https://gorsel-linki.com/selimiye.jpg
124,Sığla Ormanları ve Gizli Koylar,Muğla,Fethiye,"36.621, 29.116",Yüksek,Açık,"Doğa Yürüyüşü, Kamp",https://gorsel-linki.com/fethiye-koy.jpg
125,Yatağan Bozüyük Köyü (Güzel Köy),Muğla,Yatağan,"37.339, 28.232",Çok Yüksek,Açık,"Dizi Turu, Yöresel Kahvaltı",https://gorsel-linki.com/bozuyuk.jpg
126,Yatağan Kırsalı ve Zeytinlikler,Muğla,Yatağan,"37.341, 28.133",Orta,Açık,"Doğa Yürüyüşü, Yerel Gözlem",https://gorsel-linki.com/yatagan-kirsal.jpg
127,Yeşilyurt Köyü (Organik Köy),Muğla,Menteşe,"37.261, 28.271",Orta,Açık,"Köy Kahvaltısı, Fotoğraf",https://gorsel-linki.com/yesilyurt.jpg
128,Ölüdeniz ve Kelebekler Vadisi Hattı,Muğla,Fethiye,"36.548, 29.126",Çok Yüksek,Açık,"Paragliding, Manzara",https://gorsel-linki.com/oludeniz.jpg
129,İztuzu Plajı ve Kral Mezarları Hattı,Muğla,Dalyan,"36.791, 28.621",Çok Yüksek,Açık,"Tekne Turu, Caretta Gözlemi",https://gorsel-linki.com/dalyan.jpg
130,Gomeda Vadisi ve Mağaraları,Nevşehir,Ürgüp,"38.583, 34.908",Yüksek,Açık,Korku Temalı Doğa Gezisi,https://gorsel-linki.com/gomeda.jpg
131,Göreme Açık Hava Müzesi,Nevşehir,Göreme,"38.641, 34.845",Çok Yüksek,Müze/Açık,"Balon Gözlemi, Tarih Keşfi",https://gorsel-linki.com/goreme-muze.jpg
132,Gülşehir Açıksaray Harabeleri,Nevşehir,Gülşehir,"38.718, 34.645",Yüksek,Açık,"Tarihi Gezi, Fotoğraf",https://gorsel-linki.com/gulsehir.jpg
133,Kapadokya Kayalıkları ve Vadiler,Nevşehir,Avanos,"38.715, 34.843",Çok Yüksek,Açık,"At Binme, Yürüyüş",https://gorsel-linki.com/avanos.jpg
134,Kapadokya Peribacaları,Nevşehir,Ürgüp,"38.630, 34.912",Çok Yüksek,Açık,"Balon Turu, Fotoğraf",https://gorsel-linki.com/kapadokya.jpg
135,Mustafapaşa Köyü,Nevşehir,Ürgüp,"38.584, 34.897",Orta,Açık,Kültür Gezisi,https://gorsel-linki.com/mustafapasa.jpg
136,Old Greek House (Asmalı Konak),Nevşehir,Mustafapaşa,"38.583, 34.899",Çok Yüksek,Müze/Restoran,Tarihi Konak Gezisi,https://gorsel-linki.com/asmalikonak.jpg
137,Saruhan Kervansarayı,Nevşehir,Avanos,"38.7183,34.8461",Yüksek,Açık,Selçuklu kervansarayı gezisi; gece şovları; tarihi mimari,
138,Yer Gök Aşk Konağı (Hancıoğlu Konağı),Nevşehir,Ürgüp,"38.632, 34.915",Yüksek,Ziyarete Açık,"Müze Gezisi, Fotoğraf",https://gorsel-linki.com/yergokask.jpg
139,Ürgüp Devrent Vadisi (Hayal Vadisi),Nevşehir,Ürgüp,"38.672, 34.886",Çok Yüksek,Açık,Peribacası Gözlemi,https://gorsel-linki.com/devrent.jpg
140,Ürgüp Şehir Merkezi,Nevşehir,Ürgüp,"38.630, 34.912",Çok Yüksek,Açık,"Alışveriş, Kültür Turu",https://gorsel-linki.com/urgup.jpg
141,JFK Havalimanı,New York,Queens,"40.6413,-73.7781",Orta,Açık,Uluslararası ulaşım noktası; ikonik terminal binaları,
142,New York Şehir Merkezi,New York,Manhattan,"40.7128,-74.0060",Yüksek,Açık,Turistik geziler,
143,Ordu Boztepe ve Teleferik Hattı,Ordu,Altınordu,"40.985, 37.868",Çok Yüksek,Açık,"Yamaç Paraşütü, Seyir",https://gorsel-linki.com/boztepe.jpg
144,Kadirli Barajı ve Çevresi,Osmaniye,Kadirli,"37.421, 36.142",Yüksek,Açık,"Nostalji Gezisi, Fotoğraf",https://gorsel-linki.com/selvi-boylum.jpg
145,Ambarlı Yaylası,Rize,Çamlıhemşin,"40.912, 41.055",Orta,Açık (Mevsimlik),Doğa Fotoğrafçılığı,https://gorsel-linki.com/ambarli.jpg
146,Fırtına Deresi ve Taş Köprüler,Rize,Ardeşen,"41.192, 41.002",Çok Yüksek,Açık,"Rafting, Kültür Turu",https://gorsel-linki.com/firtina.jpg
147,Rize Kalesi ve Panoramik Tepeler,Rize,Merkez,"41.026, 40.518",Yüksek,Açık,"Manzara İzleme, Çay Keyfi",https://gorsel-linki.com/rize-kale.jpg
148,Çamlıhemşin Konakları,Rize,Çamlıhemşin,"41.045, 41.062",Çok Yüksek,Açık,Yayla Turizmi,https://gorsel-linki.com/rize-konak.jpg
149,Pervari ve Siirt Sarp Dağ Yolları,Siirt,Merkez,"37.940, 41.940",Düşük,Açık,"Manzara İzleme, Sürüş",https://gorsel-linki.com/siirt-yol.jpg
150,Tekirdağ Sahil ve Hürriyet Mahallesi,Tekirdağ,Süleymanpaşa,"40.978, 27.511",Orta,Açık,"Yürüyüş, Rakı-Balık Kültürü",https://gorsel-linki.com/tekirdag.jpg
151,Maçka Köprüyanı Köyü (Eren Bülbül Mevkii),Trabzon,Maçka,"40.712, 39.605",Yüksek (Anıt),Açık,"Ziyaret, Anma",https://gorsel-linki.com/macka-eren.jpg
152,Of İlçesi,Trabzon,Of,"40.9500,40.2667",Orta,Açık,Çay bahçeleri; yaylaları; Solaklı Vadisi doğa yürüyüşü,
