"yapim_adi","yapim_turu","senaryo_ozeti"
"Bugünün Saraylısı","dizi","Kayseri’nin o sarsılmaz gelenekleri ve muhafazakar yapısı içinde büyüyen
genç ve güzel Ayşen’in, İstanbul’un en köklü ve aristokrat ailelerinden biri olan Katiboğlu ailesinin
görkemli yalısına 'saraylı' olarak girmesiyle başlayan bu dram, iki farklı kültürel dünyanın çarpışmasını
konu alır. Yalının yüksek tavanlı salonları, antika aynaları ve Boğaz’a nazır mermer terası, zenginliğin o
mesafeli ve soğuk yüzünü yansıtan görkemli bir ayna gibidir; Ayşen’in Kayseri’den getirdiği o
samimiyet ve yerel şivesi ise bu düzene karşı duran birer özgürlük nidasıdır. Katiboğlu ailesinin iflasın
eşiğindeyken Ayşen’in mirasıyla kurtulma çabası, hikayede vicdanın sustuğu ve hırsın konuştuğu en
büyük kırılma noktasıdır. Yalının sessiz koridorlarında yankılanan sinsi fısıltılar ve Ayşen’e karşı
kurulan o şık tuzaklar, gerilimi her bölümde zirveye taşır. Ayşen’in, holding binasındaki o cam duvarlı
ofislerde ve cemiyet hayatının pırıltılı davetlerinde sergilediği o 'has Anadolu' duruşu, karakterin
aidiyet sorgulamasını yansıtan atmosferik detaylar olarak işlenir. Genç veliaht Savaş’ın, Ayşen’in
dürüstlüğüne kapılıp ona aşık olması, ailenin o buz tutmuş kalplerinde patlak veren duygusal bir zirve
noktasıdır. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve annelerinin eski hesaplaşmaları, yalının
her bir odasında fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gece yarısı Boğaz kenarında
gerçekleştirilen o sarsıcı yüzleşme ve ardından gelen büyük ihanet haberi, hikayeyi bir aşk
dramasından sarsıcı bir intikam savaşına taşır. Şehrin üzerine çöken akşam sisi ve vapurların o acı
sireni, karakterlerin iç dünyasındaki o bitmek bilmeyen fırtınayı simgeler. Ayşen’in, 'bugünün saraylısı'
olmayı reddedip kendi onuruyla yaşama kararı alması, bir kadının uyanışını simgeleyen sinematik bir
zaferdir. Katiboğlu yalısının pırıltılı dekorasyonu altında dökülen o hüzünlü yaşlar, paranın mutluluk
getirmediğini belgeler. Finalde, yalıdan valizini alıp çıkan Ayşen’in, sokağın o samimi kalabalığına
karıştığı ve özgürlüğüne gülümsediği o son kare, adaletin ve dürüstlüğün en büyük zenginlik olduğunu
vurgulayan umut dolu bir kapanış sunar. İstanbul’un ışıkları, bu yaralı ama vakur genç kızın yeni
yolunu müjdeler."
"Bursa Bülbülü","film","1980’lerin o kendine has dokusu, kaset çalarları ve samimi mahalle hayatıyla
örülü Bursa’sında, en büyük hayali bir kaset çıkarıp ünlü bir şarkıcı olmak olan Cengiz’in hikayesi, çay
bahçelerinin neşeli atmosferinde başlar. Bursa’nın o yeşil yamaçları, tarihi hanları ve her köşesinde
yankılanan Türk sanat müziği tınıları, Cengiz’in o güne kadar süren küçük dünyasını yansıtan renkli bir
ayna gibidir; ancak kaset yapmak için İstanbul’a gitme kararı, bu huzurlu döngüyü sarsan en büyük
kırılma noktasıdır. Cengiz’in, bir gazino kulisinde tanıştığı o inatçı genç kız ve onun müzisyen ailesiyle
olan karşılaşması, hikayeye hem aşkı hem de komediyi dahil eden atmosferik birer köprü sunar.
Plakçıların dumanlı odalarında yapılan o bitmek bilmeyen pazarlıklar ve Unkapanı’nın o acımasız
gerçekliği, karakterin hayalleri ile hayatın sertliği arasındaki uçurumu belgeler. Bursa’nın meşhur kılıç-
kalkan ekibiyle yapılan o provokatif sahneler ve mahalle düğünlerinde söylenen o yanık türküler,
dönemin ruhunu yansıtan en güçlü duyusal detaylardır. Cengiz’in, ünlü bir bestecinin kapısında yattığı
o yağmurlu kış gecesi, azmin ve hayal kırıklığının çarpıştığı duygusal bir zirve noktasıdır. Karakterlerin
kendi aralarındaki o 'Bursa ağzıyla' yaptıkları o içten ve samimi atışmalar, Türk insanının o sönmeyen
neşesini yansıtan birer ayna işlevi görür. Bir kaset kaydı sırasında stüdyoda yaşanan o büyük teknik
aksaklık ve ardından gelen o mucizevi ses, Cengiz’in 'Bursa Bülbülü' olarak anılmaya başlandığı zirve
anıdır. Şehrin neon ışıklı yolları ile Bursa’nın o sessiz çınar ağaçları arasındaki geçişler, karakterin
aidiyet sorgulamasını simgeler. Bir gece yarısı sahil kenarında yapılan o hüzünlü veda ve sevdiği kıza
verdiği o söz, aşkın şöhretten daha önemli olduğunu gösteren sarsıcı bir andır. Finalde, Cengiz’in
kasetinin tüm şehirde çalınmaya başladığı ve mahalle halkının hep birlikte horon teptiği o huzurlu
kare, hayallerin emekle gerçek olacağını vurgulayan neşeli bir kapanış sunar. Uludağ’ın zirvelerine
vuran o akşam güneşi, bu samimi şarkıcının başarısını ebediyen o topraklara mühürler."
"Böyle Bitmesin","dizi","İstanbul’un modern bir aile danışmanlığı merkezinde, dağılmak üzere olan
evlilikleri kurtarmak için canla başla çalışan bir ekibin ve her bölümde farklı bir ailenin sarsıcı hikayesi,
ofisin o sıcak ve dürüst atmosferinde başlar. Ofisin o her köşesi kitaplarla, çiçeklerle ve samimi
dertleşmelerle dolu salonu, karakterlerin adalete ve sevgiye olan inancını yansıtan bir ayna gibidir;
danışmanlığa gelen çiftlerin yaşadığı o her saniyesi gerilim dolu, çatlayan duvarlı evler ise modern
hayatın yalnızlığını simgeler. Ekibin lideri olan Nisa’nın, kendi evliliğindeki o sessiz çatlaklarla
yüzleşmesi, hikayede her gün yeni bir duygusal kırılma noktası yaratır. Şehrin kalabalık meydanlarında
yapılan takipler, bir park köşesinde gerçekleşen o hüzünlü barışmalar ve mahkeme koridorlarındaki o
son bekleyişler, dramaturjiyi besleyen atmosferik detaylardır. Karakterlerin birbirlerine söyledikleri
'böyle bitmesin' nidasıyla başlayan o sarsıcı itiraflar, sevginin ve güvenin ne kadar zor inşa edildiğini
gösteren duygusal zirve noktalarıdır. Ekibin, bir intihar girişimini önlemek için bir binanın tepesinde
yaptıkları o nefes kesici müzakere, bir insanın hayatına dokunmanın ne kadar kutsal olduğunu
belgeler. Şehrin neon ışıklı yolları ile karakterlerin iç dünyasındaki o bitmek bilmeyen fırtına
arasındaki tezatlık, ruhun arınma sürecini temsil eder. Bir gün ekibin en sevilen üyesinin kendi
ailesinde yaşadığı o büyük trajedi, tüm grubu tek vücut haline getiren ve dayanışma duygusunun
zirveye çıktığı sarsıcı bir andır. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve dökülen o hüzünlü
yaşlar, her bir karede izleyiciyi vicdani bir hesaplaşmaya davet eder. Bir akşam yemeği sofrasında
yapılan o samimi dertleşme ve çocukların anne babalarının elini tuttuğu o ilk saniye, sevginin her
türlü engeli aşacağını kanıtlar. Finalde, ofisin bahçesinde tüm kurtarılan ailelerin katıldığı o büyük
piknik ve ardından gelen huzurlu gülümsemeler, hayallerin ancak beraber kurulduğunda gerçek
olacağını vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'yeni' başlangıçların
üzerine doğarak sonsuz bir huzuru müjdeler."
"Büyük Yalan","film","Muğla’nın o binlerce yıllık tarih kokan, zeytin ağaçlarıyla çevrili ve sarsılmaz
törelerle örülü topraklarında, iki düşman ailenin çocuklarının aşkı etrafında dönen bu epik dram, bir
bebek değişimi yalanının gölgesinde başlar. Konağın o yüksek, taş duvarlı ve meşalelerle aydınlanan
koridorları, karakterlerin birbirlerine söyledikleri o sinsi yalanları ve sakladıkları günahları yansıtan
ürkütücü bir ayna gibidir; tarladaki o kavurucu güneş ise gerçeğin o sarsıcı çıplaklığını simgeler.
Karakterlerden birinin, ailesinin onurunu korumak adına kendi çocuğunu başka bir aileye vermesi
hikayedeki en büyük ve trajik kırılma noktasıdır. Aradan geçen yirmi yılın ardından bu büyük yalanın
bir mektupla ortaya dökülme tehlikesi, konağın o sessiz salonlarını birer savaş alanına dönüştüren
atmosferik detaylar sunar. Genç aşıkların, aslında kardeş olduklarını sanarak yaşadıkları o büyük
duygusal yıkım, karakterlerin aynadaki yansımasına bakamadığı sarsıcı birer zirve noktasıdır. Şehrin
yerel pazar yerleri, tozlu yolları ve gece yarısı ay ışığında parlayan vadileri, bu büyük 'yalanın' izlerinin
sürüldüğü tekinsiz mekanlara dönüşür. Hanımağanın, sırrı saklamak adına işlediği o yeni günahlar ve
ardından gelen vicdan azabı, dramaturjinin en yüksek katmanını oluşturur. Karakterlerin kendi
aralarındaki o 'namus' ve 'aidiyet' temalı sert hesaplaşmaları, Anadolu’nun o kadim ve sert
kanunlarını belgeler. Bir gece yarısı vadi kenarında gerçekleştirilen o son ve büyük hesaplaşma, tüm
yalanların kanla yıkandığı sinematik bir zirvedir. Karakterlerin gerçek annelerine 'anne' diyemedikleri
o hüzünlü anlar, izleyicinin yüreğine dokunan duyusal detaylardır. Şehrin üzerine çöken o ağır toz
bulutu ve ardından gelen sağanak yağmur, bir arınma değil bir veda hissi uyandırır. Finalde, tüm
sırların mahalle meydanında ifşa olduğu ve konağın kapılarının sonsuza dek kapandığı o son sahne, bir
yalan üzerine kurulan hayatların nasıl kül olduğunu vurgulayan sarsıcı bir kapanış sunar. Muğla’nın
akşam sisi, bu büyük trajedinin ve yarım kalan aşkın izlerini ebediyen o topraklar arasında
saklayacaktır."
"Büyük Yemin","film","Anadolu’nun o sarp dağlarının eteklerinde, kan davasının ve sarsılmaz
törelerin gölgesinde büyüyen bir yiğidin ( Cüneyt Arkın), babasının intikamını almak için içtiği o büyük
yeminle başlayan hikaye, kerpiç duvarlı bir köy evinde start alır. Köy meydanındaki o kadim çınar
ağacı ve altındaki yaşlıların vakur duruşu, karakterin üzerindeki o ağır sorumluluğu yansıtan bir ayna
gibidir; dağlardaki o rüzgarın uğultusu ise intikam ateşini körükleyen birer sestir. Kahramanın,
düşman ailesinin kızına aşık olması ve içtiği yemin ile kalbi arasında kalması, hikayedeki en büyük
kırılma noktasıdır. Dağların o dondurucu rüzgarı, tozlu patikaları ve uçsuz bucaksız sessizliği,
karakterin içindeki o bitmek bilmeyen yalnızlığı yansıtan atmosferik detaylar olarak işlenir. Düşman
çetenin köye düzenlediği baskın ve yaşanan o büyük kırım, kahramanın içindeki o aslanı uyandıran ve
yemini mühürleyen sarsıcı bir zirve noktası yaratır. Kahramanın, bir uçurumun kenarında düşman
lideriyle yaptığı o nefes kesici teke tek dövüş sahnesi, dramaturjinin o en yüksek ve görsel zirvesidir.
Karakterlerin kendi aralarındaki o 'vatan' ve 'namus' temalı vakur konuşmaları, Türk destanlarının o
asil ruhunu belgeler. Bir şahin çığlığı ile ormanda süren o tehlikeli kovalama ve ardından gelen o
mutlak sessizlik, adaletin ve cesaretin sinematik bir tezahürüdür. Kahramanın, babasının kılıcını
topraktan çıkarıp havaya kaldırdığı o an, bir devrin yeniden başladığını ve zulmün son bulduğunu
müjdeleyen bir kırılmadır. Şehrin lüks ve yüzeysel hayatı ile dağın o sarsılmaz gerçeği arasındaki
tezatlık, karakterlerin aidiyet sorgulamasını derinleştirir. Bir gece yarısı vadi kenarında gerçekleştirilen
o son ve büyük hesaplaşma, sevginin ne kadar ağır bir bedeli olduğunu gösteren sinematik bir
zirvedir. Finalde, tüm düşmanlarını dize getirdikten sonra dağın tepesinde tek başına duran
kahramanın o vakur silüeti, onurun her türlü servetten üstün olduğunu vurgulayan destansı bir
kapanış sunar. Anadolu’nun heybetli zirveleri, bu 'büyük yemin'in hatırasını rüzgarıyla tüm çağlara
fısıldamaya devam edecektir."
"Bıçak Sırtı","dizi","İstanbul’un tarihi dokusuyla modern yaşamının iç içe geçtiği o baş döndürücü
atmosferinde, yıllarca haksız yere hapis yatan bir adamın, çıktıktan sonra kaybettiği ailesini ve
onurunu geri alma mücadelesi, bir liman kasabasının sessizliğinde başlar. Karakterin sığındığı o derme
çatma, her köşesi deniz tuzu ve pas kokan balıkçı kulübesi, onun hayata karşı duyduğu o büyük
kırgınlığı ve yalnızlığı yansıtan hüzünlü bir ayna gibidir; ancak eski eşinin yaşadığı o görkemli malikane,
bu masumiyete karşı duran tekinsiz bir dünyadır. Karakterin, kendi oğlunun bir başkasına 'baba'
dediğini duyduğu o ilk an, hikayede duygusal dengelerin sarsıldığı en büyük kırılma noktasıdır. Şehrin
dar sokaklarındaki o yargılayıcı bakışlar ve mahalle kahvesindeki fısıltılar, karakterin üzerindeki
toplumsal baskıyı artıran duyusal detaylardır. Eski dostu olan komiserin, adaleti sağlamak adına ona
uzattığı o yardım eli, karakterin iç dünyasındaki o intikam ateşini söndüren hüzünlü birer ayna işlevi
görür. Bir gün ailenin en büyük sırrının bir mektupla tüm şehirde yankılanması, hikayeyi bir dramdan
sarsıcı bir gerilim ve kaçış macerasına taşır. Karakterlerin kendi aralarındaki o 'bıçak sırtı' temalı sarsıcı
hesaplaşmaları, bir ailenin nasıl paramparça olduğunu gösteren duygusal zirvelerdir. Bir kaza sonrası
hastane koridorunda bekleyen bu üç karakterin o sessiz ve gerilimli hali, sevginin ve bağışlanmanın ne
kadar zor olduğunu belgeler. Şehrin neon ışıklı yolları ile karakterlerin iç dünyasındaki o bitmek
bilmeyen fırtına arasındaki geçişler, ruhun arınma sürecini temsil eder. Bir gece yarısı limanda
gerçekleştirilen o son ve büyük hesaplaşma, tüm sırların kanla yıkandığı ve aşkın küllerinden yeniden
doğduğu sinematik bir zirvedir. Finalde, tüm engellerin dürüstlükle aşıldığı ve karakterin oğluyla
birlikte sahilde yürüdükleri o huzurlu kare, adaletin geç de olsa yerini bulacağını vurgulayan umut
dolu bir kapanış sunar. İstanbul’un akşam sisi, bu yaralı adamın geçmişini bir örtü gibi kapatarak ona
temiz bir gelecek armağan eder."
"Bıçkın","film","1980’lerin o kendine has delikanlılık ve kabadayılık raconlarının hüküm sürdüğü
İstanbul mahallelerinde, saf ve masum bir gencin ( Kemal Sunal), sevdiği kızı etkilemek için
mahallenin en 'bıçkın' kabadayısına özenmesiyle başlayan bu komedi, mahalle kahvehanesinin
dumanlı atmosferinde başlar. Gencin o güne kadar giydiği mütevazı kıyafetler yerine, kabadayı gibi
omuzlarına attığı ceketi ve elindeki tespihi, onun o çocuksu dünyasındaki o büyük değişimi yansıtan
bir ayna gibidir; sevdiği kızın yaşadığı o zengin ve modern ev ise bu özentiliğe karşı duran birer duvar
gibidir. Gencin, kendisini bir 'kahraman' olarak tanıtıp mahalledeki haksızlıklara karşı çıkmaya
çalışırken yaşadığı sakarlıklar, hikayenin tüm ciddiyetini absürt bir komediye dönüştüren en büyük
kırılma noktasıdır. İstanbul’un o dönemki vapur iskeleleri, pazar yerleri ve dar sokakları, bu masum
aşkın ve bıçkınlık mücadelesinin geçtiği atmosferik mekanlardır. Kemal Sunal’ın o meşhur 'saf ama
uyanık' karakteriyle, kötü adamları kendi zekasıyla dize getirdiği o her bir sahne, izleyiciyi kahkahaya
boğan sinematik birer zaferdir. Bir gece yarısı mahallede patlak veren bir hırsızlık olayı ve bıçkın
gencin hırsızların peşinden gittiği o komik kovalama, gerilimin kahkahayla harmanlandığı o büyük
zirve noktasını tetikler. Karakterin, aslında sahip olduğu o temiz kalbin, o kabadayı maskesinden çok
daha değerli olduğunu anladığı o hüzünlü an, sarsıcı bir içsel zirve yaratır. Karakterlerin kendi
aralarındaki o samimi mahalle dayanışması ve 'racon' temalı derin ama komik sohbetleri, Türk
insanının o sarsılmaz değerlerini belgeler. Bir gün gerçek bir kabadayıyla karşı karşıya gelmesi ve
dürüstlüğüyle onu alt etmesi, dramaturjinin en yüksek katmanını oluşturur. Şehrin neon ışıklı yolları
ile mahallenin o loş sokakları arasındaki geçişler, karakterin aidiyet sorgulamasını simgeler. Finalde,
mahallelinin genci omuzlarına alıp kutladığı ve sevdiği kızın ona gülümsediği o huzurlu kare,
samimiyetin her türlü gösterişi yendiğini vurgulayan neşeli bir kapanış sunar. İstanbul’un akşam
güneşi, bu 'bıçkın' ama altın kalpli gencin samimi gülümsemesiyle parlayarak huzurlu bir hayatın
kapılarını aralar."
"Camdaki Kız","dizi","İstanbul’un en köklü ve zengin ailelerinden birinin kızı olan Nalan’ın, bir cam
fanusun içinde büyütülmüşçesine steril ve baskıcı olan hayatı, ülkenin en büyük oteller zincirinin
veliahdı Sedat ile evlenmesiyle başlayan bir trajediye dönüşür. Nalan’ın yaşadığı o her köşesi beyaz ve
pırıltılı ama bir o kadar da soğuk olan malikane, karakterin içsel hapishanesini yansıtan sarsıcı bir ayna
gibidir; annesinin her sabah uyguladığı o katı 'temizlik' ve 'iffet' ritüelleri ise bu mekana sinmiş olan o
tekinsiz gerilimi belgeler. Nalan’ın, düğün gecesi yaşadığı o büyük hayal kırıklığı ve eşi Sedat’ın aslında
bir başkasına aşık olduğunu öğrenmesi hikayedeki en büyük kırılma noktasıdır. Otel binasının o
devasa koridorları, şık ama ruhsuz toplantı odaları ve gece yarısı sığınılan o karanlık yatak odaları,
karakterin yalnızlığını ve çaresizliğini yansıtan atmosferik detaylar olarak işlenir. Nalan’ın, kendisine
ilgi gösteren şoför Hayri ile kurduğu o masum bağ, bu altın kafesten kurtulmak için bulduğu tek ve
tehlikeli bir aralıktır. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve annelerinin o sarsılmaz
disiplini, her bir sahnede hissedilen atmosferik birer fırtınadır. Bir gün malikanede düzenlenen büyük
bir davette tüm yalanların birer birer dökülmesi ve Nalan’ın o meşhur korseyi çıkarıp atması,
dramaturjinin en yüksek özgürlük zirvesidir. Şehrin lüks restoranlarındaki o sahte pırıltılar ile Hayri’nin
mahallesindeki o samimi ama zorlu hayat arasındaki tezatlık, karakterin aidiyet sorgulamasını
belgeler. Bir kaza veya kriz sonrası hastane koridorunda yaşanan o sarsıcı bekleyişler, sadakatin ne
kadar kırılgan olduğunu gösteren sinematik zirvelerdir. Nalan’ın, aynaya baktığında o 'camdaki kız'
imajını parçalayıp kendi gerçeğiyle yüzleştiği o sonbahar sabahı, karakter gelişiminin en sarsıcı anıdır.
Finalde, malikanenin kapılarından kendi başına çıkıp özgürlüğe doğru yürüyen Nalan’ın yüzündeki o
huzurlu ifade, bir kadının uyanışını vurgulayan destansı bir kapanış sunar. İstanbul’un akşam sisi, bu
büyük trajedinin ve ardından gelen özgürlüğün izlerini ebediyen o Boğaz suları arasında saklar."
"Can Kırıkları","dizi","İstanbul’un suçla örülü karanlık sokaklarında, birbirlerinden habersiz ama
geçmişteki büyük bir acıyla bağlı olan iki kadın polisin, bir seri cinayet vakası etrafında kesişen yolları,
emniyetin o dumanlı ve metalik koridorlarında başlar. Emniyet binasının sorgu odalarındaki o tek
yönlü aynalar, karakterlerin sakladıkları sırları ve birbirlerine duydukları güvensizliği yansıtan buz gibi
bir ayna gibidir; operasyonların yapıldığı o terk edilmiş fabrikalar ve liman bölgeleri ise her gece
karşılaştıkları o vahşi gerçekliği simgeler. Karakterlerden birinin, yıllar önce uğradığı tacizin failini bir
zanlı olarak karşısında görmesi hikayedeki en büyük kırılma ve intikam noktasıdır. Şehrin neon ışıklı
gece kulüplerindeki o sahte pırıltılar ile kadınların iç dünyasındaki o bitmek bilmeyen 'can kırıkları'
arasındaki uçurum, her bir karede hissedilen atmosferik bir tezatlıktır. Polis merkezindeki o bitmek
bilmeyen telsiz sesleri ve gece yarısı sirenlerin yankılandığı o boş meydanlar, gerilimi her saniye
tırmandıran duyusal detaylardır. Karakterlerin kendi aralarındaki o 'kadın dayanışması' ile 'mesleki
etik' arasındaki o ince çizgide yürüyüşleri, dramaturjinin en yüksek katmanını oluşturur. Bir gün
ailenin en büyük sırrının bir kanıt dosyasıyla ortaya dökülmesi, hikayeyi bir polisiyeden sarsıcı bir
vicdan savaşına taşır. Gece yarısı bir binanın tepesinde gerçekleştirilen o sarsıcı yüzleşme ve ardından
gelen silahlı çatışma, sadakatin ve ihanetin kanla yazıldığı sinematik bir zirvedir. Şehrin üzerine çöken
o ağır kış sisi, işlenen günahları ve dökülen masum yaşları gizleyen bir perde gibidir. Karakterlerin
kendi ailevi travmalarıyla ve onları ezen o eril sistemle yaptıkları mücadele, hikayenin sosyolojik
derinliğini artırır. Bir kaza sonrası hastane koridorunda el ele tutuşarak bekleyen bu iki kadının o
kararlı duruşu, sevginin her türlü şiddeti yeneceğini vurgulayan hüzünlü bir zirvedir. Finalde, katilin
yakalanmasının ardından emniyetin önünde birbirlerine sarılan bu iki yaralı ruhun o huzurlu
görüntüsü, adaletin geç de olsa yerini bulacağını vurgulayan sarsıcı bir kapanış sunar. İstanbul’un
ışıkları, bu isimsiz kahramanların hikayesini bir sır gibi saklamaya devam edecektir."
"Canan","dizi","Peyami Safa’nın o ölümsüz eserinden uyarlanan bu dramda, çocuk yaşta evinden
koparılan ve yıllar sonra intikam almak için geri dönen Canan’ın, İstanbul’un o her köşesi entrika
kokan lüks malikanelerindeki hikayesi başlar. Malikanenin kristal avizeleri, gizli bölmeleri ve her
köşesine sinmiş olan o tekinsiz sessizlik, Canan’ın içindeki o bitmek bilmeyen öfkeyi yansıtan buz gibi
bir ayna gibidir; onun sığındığı o derme çatma otel odası ise dürüstlüğünü ve yaralı geçmişini
simgeler. Canan’ın, kendisini terk eden ailenin içine bir 'yabancı' olarak sızması ve ailenin fertlerini
birbirine düşürmesi hikayedeki en büyük kırılma noktasıdır. Holding binasındaki o şık ofislerde yapılan
o sinsi pazarlıklar ve bir kaza süsü verilerek yapılan suikast girişimleri, gerilimi her saniye tırmandıran
atmosferik detaylar olarak metne işlenir. Canan’ın, sevdiği adamın aslında masum olduğunu ve asıl
düşmanının en yakınındaki kişi olduğunu öğrendiği o ilk saniye, karakterin iç dünyasındaki tüm
dengelerin altüst olduğu duygusal bir zirve noktası yaratır. Şehrin lüks restoranlarındaki o sahte
pırıltılar ile yer altı dünyasının dumanlı mekanları arasındaki tezatlık, karakterlerin aidiyet
sorgulamasını belgeler. Malikanenin bahçesindeki o büyük havuz başında gerçekleştirilen bir nişan
töreni sırasında tüm sırların birer birer dökülmesi, dramaturjinin en yüksek katmanını oluşturur.
Karakterlerin birbirlerine karşı biriktirdikleri o derin nefret ve suçluluk duygusu, evin her bir odasında
fiziksel bir baskıya dönüşür. Bir gece yarısı mezarlıkta gerçekleştirilen o sarsıcı yüzleşme ve ardından
gelen itiraflar, 'bedelin' ne kadar ağır olduğunu gösteren sinematik bir zirvedir. Ailenin diğer
üyelerinin, servetlerini korumak adına işledikleri o korkunç suçlar, sadakatin para karşısında nasıl
eridiğini belgeler. Canan’ın, intikam almak yerine adaleti seçtiği o an, onun karakter gelişimindeki en
büyük ahlaki zaferdir. Finalde, malikanenin o karanlık atmosferinin yerini alan bir aydınlık ve Canan’ın
sevdiği kadınla el ele yürüdüğü o huzurlu kare, adaletin ancak dürüstlükle tecelli edeceğini vurgulayan
umut dolu bir kapanış sunar. İstanbul’un akşam sisi, bu büyük 'Canan' efsanesinin izlerini ebediyen
yalı duvarları arasında saklar."
"Canevim","dizi","İstanbul’un yoksul bir mahallesinde, birbirine sarsılmaz bağlarla bağlı olan Haksever
ailesinin üç kızının, zengin bir dünyanın pırıltılı ama bir o kadar da tehlikeli tuzakları arasındaki
mücadelesi, evin o her sabah taze ekmek kokan mütevazı mutfağında başlar. Evin o rutubetli
duvarları, her köşesinde yığılı olan çocuk kıyafetleri ve babanın (Hamza Bey) vakur duruşu, ailenin
sarsılmaz değerlerini yansıtan samimi bir ayna gibidir; ancak ailenin en küçük kızının zengin bir gencin
evinde çalışmaya başlaması bu huzuru yerle bir eden en büyük kırılma noktasıdır. Lüks malikanenin
cam duvarlı, soğuk ve mesafeli salonları ile mahalledeki o küçük bahçeli ev arasındaki uçurum, bir
ailenin onur ve geçim derdi arasındaki o sancılı yolculuğunu belgeler. Karakterlerden birinin, zengin
olma hayaliyle girdiği o tehlikeli işler ve ardından gelen bir polis baskını, ikili arasındaki güveni sarsan
gerilimli bir süreci tetikler. Mahalle kahvehanesindeki o babacan sohbetler ile gece yarısı ıssız otoyol
kenarlarında yapılan o sert hesaplaşmalar arasındaki uçurum, toplumsal bir laboratuvar işlevi görür.
Bir gün ailenin en büyük sırrının bir mektupla tüm mahallede yankılanması, hikayeyi bir dramdan
sarsıcı bir intikam savaşına taşır. Karakterlerin kendi aralarındaki o 'can evim' diyerek yapılan hıçkırık
dolu pazarlıkları, sevginin ne kadar ağır bir bedeli olduğunu gösteren duygusal zirve noktalarıdır.
Şehrin neon ışıklı yolları ile mahalledeki o çamurlu sokaklar arasındaki geçişler, karakterin aidiyet
sorgulamasını simgeleyen duyusal detaylardır. Bir gece vakti Boğaz kenarında gerçekleştirilen o sarsıcı
yüzleşme ve ardından gelen itiraflar, sevginin ve umudun ne kadar zor inşa edildiğini gösteren
sinematik bir zirvedir. Ailenin, tüm bu baskılara rağmen 'asla vazgeçmeyiz' diyerek onurunu koruma
çabası, dramaturjinin en yüksek katmanını oluşturur. Finalde, tüm iftiraların dürüstlükle temizlendiği
ve ailenin mahalledeki evinin önünde hep birlikte kurdukları o büyük sofrada güldükleri o huzurlu
kare, birliğin her türlü şatafatı yeneceğini vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam
güneşi, bu 'can evinin' kahramanlarının üzerine doğarak yeni bir hayatın kapılarını aralar."
"Canım Ailem","dizi","İstanbul’un tarihi ve samimi bir mahallesinde, yıllar sonra kardeşlerini bir araya
getirmek için bir vapur iskelelerinde bekleyen Samim’in, o güne kadar kurduğu dertsiz hayatının
ansızın değişmesiyle başlayan bu neşeli aile dramı, mahalledeki o yaşanmışlık kokan geniş avlulu evde
başlar. Evin o her köşesi çocuk gürültüsüyle, paylaşılan ekmekle ve bitmek bilmeyen tartışmalarla
dolu mütevazı atmosferi, 'canım ailem' olmanın o en saf halini yansıtan samimi bir ayna gibidir; ancak
yıllardır saklanan bir mirasın ortaya çıkması bu huzura karşı duran en büyük kırılma noktasıdır.
Samim’in, hiç beklemediği bir anda üç yeğenine bakmak zorunda kalması, karakterin o güne kadar
taşıdığı sorumsuzluğun yerini alan büyük bir fedakarlık aynası işlevi görür. Mahallenin o samimi
bakkalı, kasabı ve esnafı arasındaki o dayanışma ruhu, İstanbul’un kaybolan o sıcak atmosferini
yansıtan duyusal detaylar olarak işlenir. Bir gün Samim’in eski sevgilisinin karşı daireye taşınması,
hikayeyi bir aile dramından sarsıcı bir aşk masalına taşıyan neşeli bir zirve noktası yaratır.
Karakterlerin kendi aralarındaki o 'incir çekirdeğini doldurmayan' kavgaları ve ardından gelen büyük
barışmalar, sevginin her türlü engelden üstün olduğunu gösteren birer ayna işlevi görür. Bir kış gecesi
soba başında yapılan o samimi sohbetler ve paylaşılan sıcak çorba, gerçek zenginliğin huzur olduğunu
kanıtlayan sinematik zirvelerdir. Şehrin neon ışıklı o uzak yolları ile mahalledeki o loş sokaklar
arasındaki tezatlık, karakterlerin özlem duygusunu derinleştirir. Bir kaza sonrası hastane koridorunda
bekleyen tüm mahalle halkının tek vücut olması, Türk aile yapısının o sarsılmaz dokusunu belgeler.
Samim’in, yeğenlerinin başarısını bir gazete haberinde gördüğü o an, gururun yerini mutlak bir amca
özlemine bıraktığı dramaturjinin en yüksek katmanıdır. Finalde, tüm ailenin yeniden o büyük sofrada
birleştiği ve Samim’in 'iyiki geldiniz' diyerek çocuklara sarıldığı o huzurlu kare, bir ailenin her zaman
sığınılacak son liman olduğunu vurgulayan hüzünlü ama umut dolu bir kapanış sunar. İstanbul’un
akşam sisi, bu samimi ailenin hatırasını ebediyen yalı duvarları arasında saklar."
