yapim_adi,senaryo_ozeti,label,yapim_yili,_parent,is_augmented,label_id
İşe Yarar Bir Şey,"Ankara’dan bir gece yarısı yola çıkan bir trende, yolları kesişen bir şairin (
Leyla) ve bir hemşirenin ( Canan), sonu belirsiz bir yolculukta kurdukları o mistik bağ anlatılır. Trenin o
demir kaplı vagonları, gıcırdayan tekerlekleri ve her köşesine sinmiş olan o dumanlı atmosfer,
karakterlerin iç dünyasındaki yalnızlığı yansıtan bir ayna gibidir; tren penceresinden akan o gri bozkır
görüntüleri ise her adımda yankılanan varoluşçu birer sorudur. Karakterlerin, bir kompartımanda
birbirlerine 'yabancı' kalarak başladıkları sohbetin bir itirafa dönüşmesi hikayedeki en büyük kırılma
noktasıdır. Bozkırın o dondurucu rüzgarı, tozlu istasyonlar ve gece yarısı ay ışığında parlayan raylar,
bu 'işe yarar' hikayenin atmosferik mekanlarıdır. Karakterlerin kendi aralarındaki 'hayat nedir?' ve
'ölüm neyi simgeler?' temalı derin dertleşmeleri, modern insanın aidiyet krizini belgeler. Bir gün
trenin bir istasyonda mola vermesi ve karakterlerin bir hastanın ( Yavuz) yanına sığınmaları,
dramaturjinin ulaştığı en yüksek duygusal zirvedir. Şehrin neon ışıklı yolları yerine rayların o mutlak
sessizliği arasındaki tezatlık, karakterlerin özlem duygusunu derinleştirir. Başak Köklükaya’nın o
muazzam oyunculuğu ve karakterin aynadaki yansımasına bakarak yaptığı o sessiz hesaplaşmalar,
ruhsal bir arınma sürecinin parçasıdır. Final sahnelerinde, trenin son durağına ulaştığı ve karakterlerin
bir vapurun güvertesinde İstanbul değil de uyanan şehre özgür gözlerle baktıkları o huzurlu kare,
hayatın her şeye rağmen yaşanmaya değer olduğunu vurgulayan sarsıcı bir kapanış sunar.
Anadolu’nun batan güneşi, bu iki yolcunun hatırasını ebediyen o rayların arasında saklayacaktır.",Dram,2017.0,i̇şe yarar bir şey,False,1
Yer Gök Aşk,"Kapadokya’nın o binlerce yıllık tarih kokan rüzgarlı vadilerinde, Ürgüp’ün o taş
duvarlı konaklarında geçen bu dramda, aynı adama aşık olan iki kız kardeşin ( Havva ve Toprak) sarsıcı
mücadelesi anlatılır. Karakterlerin yaşadığı o yüksek, taş duvarlı ve her odasında saklanan sırlar olan
heybetli konak, bir ailenin sarsılmaz otoritesini yansıtan buz gibi bir ayna gibidir; ancak bir gece yarısı
vadi kenarında gerçekleştirilen o sarsıcı kaza haberi bu huzuru yerle bir eden en büyük kırılma
noktasıdır. Havva’nın hırsı ile Toprak’ın masumiyeti arasındaki çatışma, dramaturjiyi her bölümde
zirveye taşıyan atmosferik detaylar sunar. Kapadokya’nın o peribacalarıyla süslü, meşalelerle
aydınlanan gizli mağaraları ve gece yarısı ay ışığında parlayan vadileri, bu yasak aşkın filizlendiği
atmosferik mekanlardır. Karakterlerin kendi aralarındaki 'sadakat mi yoksa hırs mı?' sorgulamaları,
her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gün ailenin en büyük sırrının bir
mektupla tüm yalıda yankılanması, hikayeyi bir aile dramasından sarsıcı bir intikam savaşına taşır.
Şehrin üzerine çöken o ağır toz bulutu ve ardından gelen sağanak yağmur, karakterlerin arınma
sürecini temsil eden duyusal detaylardır. Yusuf’un, sevdiği kadın için kendi ailesine karşı dik durduğu
o sarsıcı saniye, bir erkeğin uyanışını simgeleyen sinematik bir zaferdir. Final sahnelerinde, tüm töre
zincirlerini kıran çiftin bir balona binerek Kapadokya semalarında süzüldükleri o huzurlu kare, aşkın
her türlü nefrete galip geldiğini vurgulayan umut dolu bir kapanış sunar. Ürgüp’ün batan güneşi, bu
'yer gök aşk' hikayesinin hatırasını ebediyen o topraklar arasında saklayacaktır.",Dram,2010.0,yer gök aşk,False,1
Sevda'nın Bahçesi,"İstanbul’un tarihi ve samimi bir mahallesinde, yıllar önce ayrılan bir çiftin (
Sevda ve Levent), yıllar sonra yeniden karşılaşmaları ve geçmişteki sırlarla yüzleşmeleri anlatılır.
Sevda’nın işlettiği o her köşesi taze yemek kokuları ve çiçeklerle dolu küçük bahçeli restoran, onun o
güne kadar kurduğu o huzurlu dünyasını yansıtan bir ayna gibidir; Levent’in ise modern ve bir o kadar
da yalnız olan iş dünyası bu sakinliğe karşı duran birer tezat oluşturur. Levent’in, bir gün kızıyla birlikte
restorana gelmesi ve Sevda ile göz göze geldiği o ilk saniye hikayedeki en büyük kırılma noktasıdır.
Mahalle kahvehanesindeki dumanlı sohbetler, pazar yerindeki neşeli atışmalar ve sahil kenarında
yapılan o 'geçmişin hesabı' temalı yürüyüşler, dramaturjiyi besleyen atmosferik detaylardır.
Karakterlerin kendi aralarındaki 'sevda'nın bahçesi burası' diyerek yaptıkları o içten atışmalar, Türk
insanının o sönmeyen yaşama sevincini belgeler. Bir gün aileden birinin başına gelen bir hastalık veya
ekonomik kriz haberi, tüm fertleri tek vücut haline getiren sarsıcı bir zirve noktası yaratır. Levent’in,
kızı için verdiği o sessiz mücadele ve Sevda’nın ona uzattığı o yardım eli, sevginin her türlü engeli
aşacağını gösteren sinematik zirvelerdir. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları
arasındaki geçişler, karakterin aidiyet sorgulamasını simgeler. Karakterlerin kılık değiştirmeleri ve
düğün sahneleri, her bölümde izleyiciyi güldüren duygusal anlardır. Şehrin üzerine çöken akşam sisi
ve odadaki o tek ampulün ışığı, yoksulluğun içindeki o sönmeyen umudu temsil eder. Final
sahnelerinde, tüm yalanların dürüstlükle temizlendiği ve mahalle meydanında kurulan o büyük
sofrada herkesin birlikte güldüğü o huzurlu kare, birliğin her türlü fırtınayı yeneceğini vurgulayan
umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'yeni' kavuşan ailenin üzerine doğarak
sonsuz bir huzuru müjdeler.",Romantik,2017.0,sevda'nın bahçesi,False,5
Yeni Gelin,"İspanya’nın pırıltılı sokaklarından Adana’nın o sarsılmaz törelerle örülü, dumanı
tüten Bozok Konağı’na 'yeni gelin' olarak gelen Bella’nın neşeli hikayesi anlatılır. Bella’nın yaşadığı o
her köşesi renkli bitkilerle ve modern eşyalarla dolu dünyası ile konağın o yüksek, taş duvarlı ve üç
kuma ile yönetilen salonları arasındaki tezatlık, bir devrin sosyokültürel yapısını yansıtan bir ayna
gibidir. Bella’nın, kaynanalarıyla ve kuma kadınlarla girdiği o amansız 'mutfak savaşı' hikayedeki en
büyük komik kırılma noktasıdır. Adana’nın o yakıcı güneşi, tozlu yolları ve akşamüstü batan o kızıl
güneşi, karakterlerin üzerindeki toplumsal baskıyı artıran atmosferik detaylardır. Karakterlerin kendi
aralarındaki 'yeni gelin' temalı sert ama bir o kadar da mizahi hesaplaşmaları, sınıf farkının değil
kültür farkının yarattığı o ironik aynayı belgeler. Bir gün konakta patlak veren büyük bir kargaşa veya
bir düğün telaşı, tüm halkı tek vücut haline getiren sarsıcı bir zirve noktası yaratır. Şehrin neon ışıklı
yolları yerine Çukurova’nın o dingin doğası arasındaki geçişler, karakterlerin aidiyet sorgulamasını
simgeler. Bella’nın, aynaya baktığında o eski İspanyol kızı değil de birer 'Adanalı gelin' gördüğü o an,
bir uyanışın sinematik tezahürüdür. Karakterlerin kılık değiştirmeleri ve düğün sahnelerine 'sanal'
müdahaleleri, izleyiciyi kahkahaya boğan sinematik birer imzadır. Final sahnelerinde, tüm yalanların
dürüstlükle temizlendiği ve Bella’nın konak meydanında tüm aileyle birlikte horon değil de çiftetelli
oynadığı o huzurlu kare, sevginin her türlü dili ve kültürü yeneceğini vurgulayan neşeli bir kapanış
sunar. Adana’nın batan güneşi, bu 'yabancı' aşkın hatırasını ebediyen o topraklar arasında
saklayacaktır.",Komedi,2017.0,yeni gelin,False,3
Teşkilat (dizi),"Modern Türkiye’nin istihbarat dünyasının o sarsılmaz kuralları ile geçmişin
karanlık gölgeleri arasında sıkışan bir ajanın ( Ömer), bir seri cinayet vakası etrafında yolları kesişen
ekibiyle birlikte yaşadığı o tekinsiz yolculuk anlatılır. Karakterin yaşadığı o her köşesi gizli kameralarla
ve operasyon haritalarıyla dolu güvenli ev, onun dünyaya kapalı ama profesyonel ruhunu yansıtan bir
ayna gibidir; şehrin zirvesindeki holding binaları ve pırıltılı yalılar ise bu karanlığın merkezini simgeler.
Ömer’in ( Murat Yıldırım), bir operasyon sırasında yanlışlıkla bir suç baronunun eline düşmesi
hikayedeki en büyük kırılma noktasıdır. Şehrin yer altı kumarhaneleri, izbe depolar ve gece yarısı
sirenlerin yankılandığı ıssız otoyollar, karakterin kaçış ve takip planlarını kurguladığı atmosferik
mekanlardır. Karakterlerin kendi aralarındaki 'vatan' ve 'sadakat' temalı sert hesaplaşmaları, Türk
aksiyon sinemasının o vakur ruhunu belgeler. Bir gün ailenin en büyük sırrının bir kanıt dosyasıyla
ortaya dökülmesi, hikayeyi bir polisiyeden sarsıcı bir vicdan savaşına taşır. Gece yarısı bir binanın
tepesinde gerçekleştirilen o sarsıcı yüzleşme ve ardından gelen silahlı çatışma, sadakatin ve ihanetin
kanla yazıldığı sinematik bir zirvedir. Şehrin üzerine çöken o ağır kış sisi, işlenen günahları ve
dökülmeyen masum yaşları gizleyen bir perde gibidir. Karakterlerin kendi ailevi travmalarıyla ve onları
ezen o eril sistemle yaptıkları mücadele, hikayenin sosyolojik derinliğini artırır. Final sahnelerinde,
katilin yakalanmasının ardından emniyetin önünde birbirlerine sarılan bu iki yaralı ruhun o huzurlu
görüntüsü, adaletin geç de olsa yerini bulacağını vurgulayan sarsıcı bir kapanış sunar. İstanbul’un
ışıkları, bu isimsiz kahramanların hatırasını ebediyen kendi içinde saklayacaktır.",Aksiyon,2021.0,teşkilat,False,0
Güneşi Beklerken (dizi),"Bursa’nın o sakin, toprak kokulu mahallelerinden İstanbul’un o her
köşesi rekabet ve gösteriş kokan pırıltılı kolej dünyasına uzanan bu dram, bir anne ve kızın yeni bir
hayat kurma çabasıyla başlar. Zeynep’in sığındığı o derme çatma, pencereleri rüzgar alan öğrenci
odası, onun hayallerini ve çaresizliğini yansıtan hüzünlü bir ayna gibidir; ancak Sayer Koleji’nin o ultra
modern, cam duvarlı binaları bu masumiyete karşı duran soğuk ve acımasız bir dünyadır. Zeynep’in,
okulun mutlak hakimi olan Kerem Sayer ile girdiği o amansız düello hikayedeki en büyük kırılma
noktasıdır. Okulun o yüksek tavanlı kütüphanesi, meşalelerle aydınlanan gizli geçitleri ve spor
salonundaki o ter kokulu sahneler, gençliğin o sönmeyen enerjisini belgeler. Zeynep’in, babasıyla ilgili
saklanan o devasa gerçeği bir öğretmenin odasında tesadüfen öğrenmesi, karakterin iç dünyasındaki
tüm dengelerin altüst olduğu duygusal bir zirve noktası yaratır. Şehrin lüks restoranlarındaki o sahte
pırıltılar ile mahalle bakkalındaki o samimi duruş arasındaki tezatlık, karakterin aidiyet sorgulamasını
yansıtan atmosferik detaylar sunar. Karakterlerin kendi aralarındaki o 'sadakat mi yoksa hırs mı?'
sorgulamaları, her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gece yarısı Boğaz
kenarında gerçekleştirilen o sarsıcı yüzleşme ve ardından gelen itiraflar, sevginin ve güvenin ne kadar
zor inşa edildiğini belgeler. Kerem’in, Zeynep’e duyduğu o gizli aşkı bir kağıda döktüğü o hüzünlü
akşamüstü, dramaturjinin en yüksek katmanını oluşturur. Bir kaza sonrası hastane koridorunda
bekleyen o tüm mahalle halkının tek vücut olması, Türk aile yapısının o sarsılmaz dokusunu yansıtan
sinematik bir imzadır. Finalde, tüm yalanların dürüstlükle temizlendiği ve Zeynep ile Kerem’in güneşin
doğuşunu izledikleri o huzurlu kare, adaletin ve umudun zaferini vurgulayan sarsıcı bir kapanış sunar.
İstanbul’un ışıkları, bu yaralı ama vakur genç kızın yeni hayatını müjdelercesine ufukta parlar.",Dram,2013.0,güneşi beklerken,False,1
Adanalı,"İstanbul’un bitmek bilmeyen keşmekeşi ve suçla örülü arka sokakları, organize
suçlarla mücadele eden sert polis Adanalı ile eski dostu ama şimdiki düşmanı olan mafya lideri Maraz
Ali’nin bitmek bilmeyen düellosuna sahne olur. Emniyet teşkilatının yüksek teknolojili odaları ile
Maraz Ali’nin lüks ve karanlık garajı, hukuk ve suç arasındaki o keskin çizgiyi yansıtan iki zıt ayna
gibidir. Adanalı’nın şalvarlı ve yerel tarzının şehrin modern silüetiyle yarattığı tezatlık, karakterin
sarsılmaz geleneksel adalet anlayışını simgeler. Yıllar önce yaşanan bir ihanet sonucu yolları ayrılan bu
iki dev adamın, bir uyuşturucu sevkiyatı sırasında yeniden karşı karşıya gelmesi hikayenin en büyük
kırılma noktasıdır. Şehrin kalabalık otoyollarındaki nefes kesici araba takipleri ve gökdelenlerin
tepesinde gerçekleşen çatışmalar, gerilimin dozunu sürekli yüksek tutan atmosferik sahnelerdir.
Maraz Ali’nin çetesinin bulunduğu sanayi sitesindeki o dumanlı ve metalik doku, yeraltı dünyasının
soğukluğunu iliklere kadar hissettirir. Adanalı’nın, kızıyla olan duygusal ilişkisi ve onu bu karanlık
dünyadan uzak tutma çabası, karakterin o sert kabuğunun altındaki kırılganlığı yansıtan hüzünlü
anlara sahne olur. Bir gece yarısı Boğaz Köprüsü üzerinde gerçekleşen büyük hesaplaşma, iki eski
dostun silahlarını birbirine doğrulttuğu ve geçmişin hesabının sorulduğu bir zirve noktasıdır.
Aksiyonun ve komedinin harmanlandığı mahalle baskınları, İstanbul’un çok kültürlü ve karmaşık
yapısını yansıtan birer toplumsal laboratuvar işlevi görür. Maraz Ali’nin zekası ile Adanalı’nın bilek
gücünün çarpışması, her bölümde izleyiciyi şaşırtan yeni bir hamleye evrilir. Şehrin gece
manzarasındaki neon ışıkları, karakterlerin iç dünyasındaki yalnızlığı ve bitmek bilmeyen savaşı
gizleyen parlak bir örtü gibidir. Final sahnelerinde, adaletin tecelli etmesi için verilen o büyük bedeller
ve kaybedilen dostluklar, her iki karakterin de ruhunda derin izler bırakır. İstanbul’un yollarında siren
sesleri eşliğinde süzülen ekip otosu, bu bitmeyen savaşın sadece bir perdesinin kapandığını
vurgulayan sinematik bir kapanışla sona erer.",Polisiye,2007.0,adanalı,False,4
İstanbul Sokakları,"İstanbul’un orta halli bir mahallesinde derme çatma bir evde yaşayan ve
kalp nakli bekleyen masum Nazlı ile zengin bir ailenin veliahdı olan Fırat’ın imkansız aşkı anlatılır.
Nazlı’nın sığındığı o her köşesi ilaç kokan mütevazı odası, onun dünyaya karşı olan o hüzünlü
bekleyişini yansıtan bir ayna gibidir; ancak Fırat’ın yaşadığı o şatafatlı, Boğaz manzaralı malikane bu
masumiyete karşı duran tekinsiz bir dünyadır. Nazlı’nın, bir kaza sonucu hastaneye kaldırılması ve
kalp nakli için tek umudun Fırat’ın ailesinden birine bağlı olması hikayedeki en büyük kırılma
noktasıdır. Yalının kristal avizeleri, sinsi fısıltılar ve holding binasındaki o şık ofislerde yapılan o soğuk
pazarlıklar, gerilimi her bölümde zirveye taşır. Karakterlerin kendi aralarındaki 'sadakat mi yoksa hırs
mı?' sorgulamaları, her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gece yarısı Boğaz
kenarında gerçekleştirilen o sarsıcı dertleşme ve Fırat ile Nazlı arasındaki o bastırılmış aşk, sevginin ne
kadar ağır bir bedeli olduğunu belgeler. Şehrin lüks restoranlarındaki sahte pırıltılar ile mahalle
bakkalındaki o samimi duruş arasındaki tezatlık, karakterlerin aidiyet sorgulamasını simgeler. Bir gün
ailenin en büyük sırrının bir mektupla tüm yalıda yankılanması, hikayeyi bir dramdan sarsıcı bir
intikam savaşına taşır. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir
mücadelenin sembolleridir. Final sahnelerinde, tüm yalanların dürüstlükle temizlendiği ve Nazlı’nın
yeni kalbiyle sahil kenarında el ele yürüdüğü o huzurlu kare, adaletin ve aşkın her türlü şatafattan
üstün olduğunu vurgulayan sarsıcı bir kapanış sunar. İstanbul’un ışıkları, bu yaralı aşıkların hatırasını
ebediyen o dar sokaklarda saklayacaktır.",Romantik,2016.0,i̇stanbul sokakları,False,5
Hatırla Sevgili,"1950'li yılların Türkiye’sinde, Ankara’nın o ağırbaşlı, bürokratik ve sarsılmaz
ideallerle örülü sokaklarında başlayan bu epik dram, iki farklı siyasi görüşe sahip ailenin çocukları olan
Ahmet ve Yasemin’in imkansız aşkını konu alır. Ankara’nın o dondurucu kış sabahları, meclis binasının
gölgesindeki o resmi atmosfer ve evlerin o her köşesi kitaplarla dolu kütüphaneleri, karakterlerin
üzerindeki o ağır sorumluluğu yansıtan birer ayna gibidir; ancak bir gece yarısı gerçekleşen 27 Mayıs
darbesi bu huzuru yerle bir eden en büyük kırılma noktasıdır. Ahmet’in babasının bir politikacı olarak
hapse atılması ve Yasemin’in ailesinin bu duruma sessiz kalması, ikili arasındaki aşkı bir vicdan
savaşına dönüştüren atmosferik detaylardır. Şehrin neon ışıklı değil de o dönemki loş sokak lambaları
altındaki gizli buluşmaları, kiralık faytonlardaki fısıltılı konuşmalar ve pazar yerindeki casusluk
sahneleri, dönemin ruhunu yansıtan en güçlü duyusal detaylardır. Karakterlerin kendi aralarındaki o
'sağcı mı solcu mu?' temalı vakur tartışmaları, Türk aydınlanmasının o asil ruhunu belgeler. Bir gün
Ahmet’in, hapishane ziyaretinde babasının o vakur duruşunu görmesi, karakterin iç dünyasındaki o
sarsılmaz iradenin zirve noktasıdır. Şehrin üzerine çöken o ağır barut dumanı ve ardından gelen bir
şafak vakti sessizliği, bir devrin kapanışını ve yarım kalan bir aşkın son nefesini temsil eder.
Karakterlerin kendi ailevi geçmişlerindeki sırlar ve dökülen hüzünlü yaşlar, her bir karede izleyiciyi
vicdani bir hesaplaşmaya davet eder. Bir kaza veya pusu sonrası hastane koridorunda bekleyen o
sessiz ve gerilimli grup, sadakatin ne kadar ağır bir bedeli olduğunu gösteren sinematik zirvelerdir.
Finalde, aradan geçen onlarca yılın ardından İstanbul’un Boğaz manzarasına karşı 'hatırla sevgili'
diyerek birbirlerine bakan Ahmet ve Yasemin’in o yorgun ama huzurlu görüntüsü, sevginin her türlü
ideolojiyi yeneceğini vurgulayan hüzünlü bir kapanış sunar. Ankara’nın yolları, bu büyük aşkın ve
sönmeyen bir mücadelenin izlerini ebediyen kendi içinde saklayacaktır.",Romantik,2006.0,hatırla sevgili,False,5
Tehlikeli Karım,"İstanbul’un modern, minimalist ve bir o kadar da gergin bir atmosferinde, bir
yanda her şeyi kuralına göre yapan disiplinli bir adam, diğer yanda ise kendisine kurulan o sarsıcı
'kaçırılma' kumpasıyla yüzleşen kocasının hikayesi anlatılır. Karakterlerin yaşadığı o her köşesi modern
sanat eserleri ve şık mobilyalarla döşeli steril ev, bir sabah alınan o büyük borç haberiyle buz gibi
soğuk bir hapishaneye dönüşen bir ayna gibidir; ancak karısının ( Gonca Vuslateri) bir gece yarısı
ansızın kaybolması hikayedeki en büyük kırılma noktasıdır. Karakterin, karısını bulmak için girdiği o
sinsi hayaller ve ardından gelen büyük yalanlar, gerilimi her geçen saniye tırmandıran atmosferik
detaylar sunar. Şehrin lüks restoranlarındaki o sahte pırıltılar ile yeraltı dünyasının dumanlı mekanları
arasındaki tezatlık, karakterin aidiyet sorgulamasını belgeler. Karakterlerin kendi aralarındaki 'sadakat
mi yoksa hırs mı?' sorgulamaları, her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gün
ailenin en büyük sırrının bir video kaydıyla tüm yalıda yankılanması, hikayeyi bir dramdan sarsıcı bir
suç savaşına taşır. Gece yarısı Boğaz kenarında gerçekleştirilen o sarsıcı yüzleşme ve ardından gelen
hıçkırıklar, sevginin ne kadar ağır bir bedeli olduğunu gösteren duygusal zirvelerdir. Şehrin üzerine
çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir mücadelenin sembolleridir.
Karakterlerin aynaya baktıklarında o eski dürüst yüzlerini değil de yorgun birer 'suç ortağı' görmeleri,
ruhsal bir çöküşün sinematik kanıtıdır. Final sahnelerinde, tüm yalanların dürüstlükle temizlendiği
ama her bir karakterin kendi yoluna gitmek zorunda kaldığı o huzurlu kare, adaletin ve onurun her
türlü şatafattan üstün olduğunu vurgulayan sarsıcı bir kapanış sunar. İstanbul’un ışıkları, bu yaralı
aşıkların yeni hayatını müjdelercesine ufukta parlar.",Romantik,2018.0,tehlikeli karım,False,5
Peşpeşe,"İstanbul’un modern ve pırıltılı yaşantısının gölgesinde, bir kaza ve sırlar labirenti
etrafında hayatları peş peşe birbirine dolanan bir grup insanın sarsıcı hikayesi anlatılır. Karakterlerin
yaşadığı o her köşesi minimalist ve şık mobilyalarla döşeli steril evler, ihanetin ortaya çıkmasıyla birer
buz gibi soğuk hapishaneye dönüşen bir ayna gibidir; ancak bir gece yarısı ıslak asfaltta yankılanan o
sarsıcı fren sesi hikayedeki en büyük kırılma noktasıdır. Şehrin neon ışıklı gece kulüpleri, izbe depolar
ve gece yarısı sirenlerin yankılandığı ıssız otoyollar, karakterlerin kaçış ve takip planlarını kurguladığı
atmosferik mekanlardır. Karakterlerin kendi aralarındaki 'sadakat mi yoksa hırs mı?' sorgulamaları,
her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gün ailenin en büyük sırrının bir
mektupla tüm mahallede yankılanması, hikayeyi bir dramdan sarsıcı bir suç savaşına taşır. Gece yarısı
Boğaz kenarında gerçekleştirilen o sarsıcı yüzleşme ve ardından gelen hıçkırıklar, sevginin ne kadar
ağır bir bedeli olduğunu gösteren duygusal zirvelerdir. Şehrin üzerine çöken akşam sisi ve vapurların o
acı sireni, bitmek bilmeyen bir mücadelenin sembolleridir. Karakterlerin aynaya baktıklarında o eski
dürüst yüzlerini değil de yorgun birer 'suç ortağı' görmeleri, ruhsal bir çöküşün sinematik kanıtıdır.
Final sahnelerinde, tüm yalanların dürüstlükle temizlendiği ve her bir karakterin kendi gerçeğiyle
yüzleştiği o huzurlu kare, adaletin ve onurun her türlü şatafattan üstün olduğunu vurgulayan sarsıcı
bir kapanış sunar. İstanbul’un ışıkları, bu yaralı ruhların hatırasını ebediyen kendi içinde
saklayacaktır.",Dram,2011.0,peşpeşe,False,1
Avrupa Avrupa,"İstanbul’un modern ve lüks bir apartman sitesindeki aynı katta yaşayan iki zıt
ailenin; biri Avrupa Birliği standartlarına takıntılı 'Avrupalı' aile, diğeri ise geleneklerinden ödün
vermeyen 'Alaturka' ailenin komik ve bitmek bilmeyen çekişmeleri, apartman koridorundaki o ortak
paspas başında başlar. Avrupalı ailenin minimalist, teknolojik ve soğuk dekorasyonlu evi, onların o
yapay ve kuralcı yaşam tarzını yansıtan bir ayna gibidir; Alaturka ailenin ise dantelli örtülerle, sıcak
yemek kokularıyla dolu o samimi evi bu düzene karşı duran neşeli bir kaledir. Türkiye’nin Avrupa
Birliği’ne girme hayalleriyle yanıp tutuşan apartman sakinlerinin, her sabah kapı önünde birbirlerine
karşı sergiledikleri o 'medeni' olma yarışı hikayenin en büyük komik kırılma noktasıdır. Apartman
toplantılarında yaşanan o absürt protokol tartışmaları ve çocukların birbirlerine aşık olmasıyla iyice
karışan aile ilişkileri, toplumsal zıtlıkları yansıtan atmosferik birer laboratuvar sunar. İki ailenin
babaları arasındaki o bitmek bilmeyen 'en modern benim' veya 'en asil biziz' rekabeti, gerilimi
kahkahayla harmanlayan duyusal detaylar olarak metne işlenir. Bir gün apartmana yabancı bir
diplomatın veya bir denetçinin geleceği haberi, her iki ailenin de kendilerini olduklarından farklı
göstermeye çalıştıkları o büyük ve komik zirve noktasını tetikler. Avrupalı ailenin lüks spor salonu ile
Alaturka ailenin pazar alışverişi arasındaki tezatlık, karakterlerin aidiyet krizini belgeler. Bir gece yarısı
apartmanda patlak veren bir tesisat arızası veya komik bir yanlış anlama, iki ailenin o 'yüksek duvarlı'
mesafesinin eridiği ve gerçek samimiyetin başladığı hüzünlü ama tatlı anlara sahne olur. Karakterlerin
kendi aralarındaki o gizli itiraflar ve çocukların bu iki dünya arasında bir köprü kurma çabası, sevginin
tüm kalıplardan daha önemli olduğunu gösteren duygusal zirvelerdir. Şehrin neon ışıklı yolları ile
apartmanın o gürültülü ama sıcak havası arasındaki geçişler, Türkiye’nin o çok sesli ve çok kültürlü
yapısını belgeler. Finalde, tüm apartman sakinlerinin bahçedeki büyük bir sofrada; bir yanda peynir
tabakları, diğer yanda lahmacunlarla birlikte oturdukları o son kare, 'Avrupa' hayali ile 'Anadolu'
gerçeğinin en samimi kucaklaşmasıdır. İstanbul’un akşam güneşi, bu tatlı sert komşuluğun üzerine
doğarak farklılıkların birer zenginlik olduğunu vurgulayan neşeli bir kapanış sunar.",Dram,2011.0,avrupa avrupa,False,1
Çılgın Dersane Kampta,"Antalya’nın güneşli ve pırıltılı sahillerindeki bir yaz kampında, bir
grup haylaz lise öğrencisinin ve öğretmenlerinin yaşadığı o absürt ve neşeli macera anlatılır. Kampın o
masmavi havuz başı, neon ışıklı disko salonu ve her sabah taze deniz kokusuyla uyanan sahil şeridi,
karakterlerin saflığını yansıtan neşeli bir ayna gibidir; ancak rakip bir dershanenin kamp alanına
sızması bu eğlenceye karşı duran komik birer barikat oluşturur. Gençlerin, bir gece yarısı düzenlenen
büyük bir yarışma sırasında sergiledikleri o muazzam sakarlıklar hikayedeki en büyük kırılma
noktasıdır. Karakterlerin suçluları yakalamak için kılık değiştirip mutfaktan podyuma kadar her köşede
verdikleri o sakar mücadele, Türk sinemasının o sönmeyen neşesini belgeler. Şehrin lüks
restoranlarındaki o sakar halleri ile otelin duman altı olmuş teknik odasındaki planları arasındaki
tezatlık, sınıfsal birer ayna işlevi görür. Karakterlerin kendi aralarındaki 'en iyi öğrenci benim' yarışları
ve ardından gelen komik cezalar, her bölümde izleyiciyi kahkahaya boğan sinematik zirvelerdir. Bir
gece yarısı sahilde yakılan ateş etrafında toplanan halkın o vakur duruşu, tüm küslüklerin bittiği
muazzam bir zirvedir. Final sahnelerinde, tüm yalanların dürüstlükle temizlendiği ve kampın sonunda
öğrencilerin keplerini gökyüzüne attıkları o huzurlu kare, gerçek mutluluğun bir yer değil birer dostluk
olduğunu vurgulayan neşeli bir kapanış sunar. Antalya’nın akşam güneşi, bu 'has mahalleli' insanların
üzerine doğarak sonsuz bir huzuru müjdeler.",Dram,2008.0,çılgın dersane kampta,False,1
